scheme_id,paper_id,dataset_id,task_family,task_name,label_scheme_key,label_semantics,class_cardinality,cardinality_type,class_type,input_units,design_ids,component_roles,complete_scheme_in_dataset,eligibility_status,exclusion_reason,evidence_ids
SCH0001,P05927,DS-P05927-PROTOCOL-REPOSITORY,semantic_inference,VoIP RTP stream detection,RTP VoIP media versus non-RTP traffic::2,RTP VoIP media versus non-RTP traffic,2,exact,binary,packet_stream,DES0001,both,yes,eligible,,EVD1688 | EVD1686 | EVD1687
SCH0002,P07480,DS-ISCX-TOR-2016,semantic_inference,ISCX-Tor classification,tor service category::8,Tor service category,8,exact,multiclass,unknown,DES0241,both,yes,eligible,,EVD1885
SCH0003,P07480,DS-CIC-IOT-2022,semantic_inference,CICIoT2022 classification,iot traffic category::10,IoT traffic category,10,exact,multiclass,unknown,DES0239,both,yes,eligible,,EVD1883
SCH0004,P07480,DS-CROSS-PLATFORM-2017,semantic_inference,Cross-Platform transfer classification,mobile application identity::411,mobile application identity,411,exact,multiclass,unknown,DES0240,both,yes,eligible,,EVD1884
SCH0005,P07480,DS-ISCX-VPN-2016,semantic_inference,ISCX-VPN classification,vpn service category::7,VPN service category,7,exact,multiclass,unknown,DES0242,both,yes,eligible,,EVD1886
SCH0006,P07480,DS-USTC-TFC-2016,other_eligible_fixed_labels,USTC-TFC classification,benign application or malware family::20,benign application or malware family,20,exact,multiclass,unknown,DES0243,both,yes,eligible,,EVD1887
SCH0007,P11328,DS-CIC-IOT-2022,semantic_inference,CICIoT2022 traffic category classification,dataset-defined encrypted traffic categories::3,dataset-defined encrypted traffic categories,3,lower_bound,multiclass,message_level_flow_graph,DES0002,both,yes,eligible,,EVD1691 | EVD1689 | EVD1690
SCH0008,P11328,DS-QUIC-2019,semantic_inference,QUIC2019 traffic category classification,dataset-defined encrypted traffic categories::3,dataset-defined encrypted traffic categories,3,lower_bound,multiclass,message_level_flow_graph,DES0003,both,yes,eligible,,EVD1691 | EVD1689 | EVD1690
SCH0009,P11328,DS-ISCX-TOR-2016,semantic_inference,ISCX-Tor2016 traffic category classification,dataset-defined encrypted traffic categories::3,dataset-defined encrypted traffic categories,3,lower_bound,multiclass,message_level_flow_graph,DES0004,both,yes,eligible,,EVD1691 | EVD1689 | EVD1690
SCH0010,P11328,DS-ISCX-VPN-2016,semantic_inference,ISCX-VPN2016 traffic category classification,dataset-defined encrypted traffic categories::3,dataset-defined encrypted traffic categories,3,lower_bound,multiclass,message_level_flow_graph,DES0005,both,yes,eligible,,EVD1691 | EVD1689 | EVD1690
SCH0011,P12361,DS-CIC-IDS-2017,security_state_classification,Bot traffic detection,benign versus Bot attack traffic::2,benign versus Bot attack traffic,2,exact,binary,traffic_node_flow,DES0006,both,yes,eligible,,EVD1695 | EVD1692 | EVD1694 | EVD1693
SCH0012,P12361,DS-CIC-IDS-2017,security_state_classification,DDoS traffic detection,benign versus DDoS attack traffic::2,benign versus DDoS attack traffic,2,exact,binary,traffic_node_flow,DES0007,both,yes,eligible,,EVD1695 | EVD1692 | EVD1694 | EVD1693
SCH0013,P12361,DS-CIC-IDS-2017,security_state_classification,Infiltration traffic detection,benign versus Infiltration attack traffic::2,benign versus Infiltration attack traffic,2,exact,binary,traffic_node_flow,DES0008,both,yes,eligible,,EVD1695 | EVD1692 | EVD1694 | EVD1693
SCH0014,P12361,DS-CIC-IDS-2017,security_state_classification,MultiDos traffic detection,benign versus MultiDos attack traffic::2,benign versus MultiDos attack traffic,2,exact,binary,traffic_node_flow,DES0009,both,yes,eligible,,EVD1695 | EVD1692 | EVD1694 | EVD1693
SCH0015,P12361,DS-CIC-IDS-2017,security_state_classification,Patator traffic detection,benign versus Patator attack traffic::2,benign versus Patator attack traffic,2,exact,binary,traffic_node_flow,DES0010,both,yes,eligible,,EVD1695 | EVD1692 | EVD1694 | EVD1693
SCH0016,P12361,DS-CIC-IDS-2017,security_state_classification,PortScan traffic detection,benign versus PortScan attack traffic::2,benign versus PortScan attack traffic,2,exact,binary,traffic_node_flow,DES0011,both,yes,eligible,,EVD1695 | EVD1692 | EVD1694 | EVD1693
SCH0017,P12361,DS-CIC-IDS-2017,security_state_classification,WebAttacks traffic detection,benign versus WebAttacks attack traffic::2,benign versus WebAttacks attack traffic,2,exact,binary,traffic_node_flow,DES0012,both,yes,eligible,,EVD1695 | EVD1692 | EVD1694 | EVD1693
SCH0018,P12361,DS-UNSW-NB15,security_state_classification,UNSW-NB15 malicious traffic detection,benign versus any of nine attack types::2,benign versus any of nine attack types,2,exact,binary,traffic_node_flow,DES0013,both,yes,eligible,,EVD1695 | EVD1692 | EVD1694 | EVD1693
SCH0019,P12435,DS-CROSS-PLATFORM-2017,semantic_inference,CrossPlatform iOS app identification,service/application or iot traffic class::196,service/application or IoT traffic class,196,exact,multiclass,flow,DES0247,both,yes,eligible,,EVD1891
SCH0020,P12435,DS-ISCX-TOR-2016,semantic_inference,ISCXTor service classification,service/application or iot traffic class::7,service/application or IoT traffic class,7,exact,multiclass,flow,DES0245,both,yes,eligible,,EVD1889
