use_id,paper_id,dataset_id,reported_names,evaluation_roles,task_families,scheme_ids,design_ids,complete_scheme_count,partial_component_scheme_count,evidence_ids
USE0001,P05927,DS-P05927-PROTOCOL-REPOSITORY,not_reported,not_reported,semantic_inference,SCH0001,DES0001,1,0,EVD1686 | EVD1687 | EVD1688
USE0002,P07480,DS-CROSS-PLATFORM-2017,Cross-Platform,training | test,semantic_inference,SCH0004,DES0240,1,0,EVD0476 | EVD1884
USE0003,P07480,DS-ISCX-VPN-2016,ISCXVPN2016,training | test,semantic_inference,SCH0005,DES0242,1,0,EVD0787 | EVD1886
USE0004,P07480,DS-USTC-TFC-2016,USTC-TFC2016,training | test,other_eligible_fixed_labels,SCH0006,DES0243,1,0,EVD0691 | EVD1887
USE0005,P07480,DS-ISCX-TOR-2016,ISCXTor2016,training | test,semantic_inference,SCH0002,DES0241,1,0,EVD0799 | EVD1885
USE0006,P07480,DS-CIC-IOT-2022,CICIoT2022,training | test,semantic_inference,SCH0003,DES0239,1,0,EVD0605 | EVD1883
USE0007,P11328,DS-ISCX-VPN-2016,not_reported,not_reported,semantic_inference,SCH0010,DES0005,1,0,EVD1689 | EVD1690 | EVD1691
USE0008,P11328,DS-QUIC-2019,not_reported,not_reported,semantic_inference,SCH0008,DES0003,1,0,EVD1689 | EVD1690 | EVD1691
USE0009,P11328,DS-ISCX-TOR-2016,not_reported,not_reported,semantic_inference,SCH0009,DES0004,1,0,EVD1689 | EVD1690 | EVD1691
USE0010,P11328,DS-CIC-IOT-2022,not_reported,not_reported,semantic_inference,SCH0007,DES0002,1,0,EVD1689 | EVD1690 | EVD1691
USE0011,P12361,DS-CIC-IDS-2017,not_reported,not_reported,security_state_classification,SCH0011 | SCH0012 | SCH0013 | SCH0014 | SCH0015 | SCH0016 | SCH0017,DES0006 | DES0007 | DES0008 | DES0009 | DES0010 | DES0011 | DES0012,7,0,EVD1692 | EVD1693 | EVD1694 | EVD1695
USE0012,P12361,DS-UNSW-NB15,not_reported,not_reported,security_state_classification,SCH0018,DES0013,1,0,EVD1692 | EVD1693 | EVD1694 | EVD1695
USE0013,P12435,DS-CROSS-PLATFORM-2017,CrossPlatform | Android | iOS,training | validation | test,semantic_inference,SCH0019 | SCH0023,DES0246 | DES0247,2,0,EVD0471 | EVD1890 | EVD1891
USE0014,P12435,DS-ISCX-VPN-2016,ISCXVPN2016,training | validation | test,semantic_inference,SCH0022,DES0244,1,0,EVD0794 | EVD1888
USE0015,P12435,DS-CIC-IOT-2023,CICIoT2023,training | validation | test,semantic_inference,SCH0021,DES0248,1,0,EVD0554 | EVD1892
USE0016,P12435,DS-ISCX-TOR-2016,ISCXTor2016,training | validation | test,semantic_inference,SCH0020,DES0245,1,0,EVD0574 | EVD1889
