rq1_dataset_summary_id,dataset_id,dimension,outcome,scheme_count,supported_scheme_ids,documented_no_support_scheme_ids,not_documented_scheme_ids
R1D0001,DS-ANDRUBIS,client,not_documented,2,,,SCH0199 | SCH0204
R1D0002,DS-ANDRUBIS,network,not_documented,2,,,SCH0199 | SCH0204
R1D0003,DS-ANDRUBIS,temporal,documented_no_support,2,,SCH0199 | SCH0204,
R1D0004,DS-ANOSHIFT,client,not_documented,1,,,SCH0223
R1D0005,DS-ANOSHIFT,network,not_documented,1,,,SCH0223
R1D0006,DS-ANOSHIFT,temporal,supported,1,SCH0223,,
R1D0007,DS-AUCKLAND-VI-2001,client,not_documented,1,,,SCH0252
R1D0008,DS-AUCKLAND-VI-2001,network,not_documented,1,,,SCH0252
R1D0009,DS-AUCKLAND-VI-2001,temporal,not_documented,1,,,SCH0252
R1D0010,DS-AWF-2017,client,documented_no_support,8,,SCH0055 | SCH0057 | SCH0092 | SCH0093 | SCH0094 | SCH0379 | SCH0381 | SCH0415,
R1D0011,DS-AWF-2017,network,not_documented,8,,,SCH0055 | SCH0057 | SCH0092 | SCH0093 | SCH0094 | SCH0379 | SCH0381 | SCH0415
R1D0012,DS-AWF-2017,temporal,supported,8,SCH0415,,SCH0055 | SCH0057 | SCH0092 | SCH0093 | SCH0094 | SCH0379 | SCH0381
R1D0013,DS-AWID3,client,not_documented,1,,,SCH0173
R1D0014,DS-AWID3,network,not_documented,1,,,SCH0173
R1D0015,DS-AWID3,temporal,documented_no_support,1,,SCH0173,
R1D0016,DS-BOT-IOT,client,not_documented,1,,,SCH0236
R1D0017,DS-BOT-IOT,network,documented_no_support,1,,SCH0236,
R1D0018,DS-BOT-IOT,temporal,not_documented,1,,,SCH0236
R1D0019,DS-BTU-MALWARE,client,not_documented,2,,,SCH0184 | SCH0185
R1D0020,DS-BTU-MALWARE,network,not_documented,2,,,SCH0184 | SCH0185
R1D0021,DS-BTU-MALWARE,temporal,not_documented,2,,,SCH0184 | SCH0185
R1D0022,DS-CIC-ANDMAL-2017,client,not_documented,2,,,SCH0076 | SCH0144
R1D0023,DS-CIC-ANDMAL-2017,network,documented_no_support,2,,SCH0076 | SCH0144,
R1D0024,DS-CIC-ANDMAL-2017,temporal,not_documented,2,,,SCH0076 | SCH0144
R1D0025,DS-CIC-DDOS-2019,client,not_documented,4,,SCH0127,SCH0098 | SCH0148 | SCH0164
R1D0026,DS-CIC-DDOS-2019,network,not_documented,4,,SCH0098 | SCH0127 | SCH0148,SCH0164
R1D0027,DS-CIC-DDOS-2019,temporal,not_documented,4,,SCH0164,SCH0098 | SCH0127 | SCH0148
R1D0028,DS-CIC-IDS-2017,client,not_documented,22,,SCH0079 | SCH0087 | SCH0128,SCH0011 | SCH0012 | SCH0013 | SCH0014 | SCH0015 | SCH0016 | SCH0017 | SCH0081 | SCH0096 | SCH0145 | SCH0161 | SCH0162 | SCH0163 | SCH0181 | SCH0224 | SCH0240 | SCH0389 | SCH0392 | SCH0393
