rq2_paper_summary_id,paper_id,dimension,outcome,evaluation_count,holdout_design_ids,documented_no_holdout_design_ids,not_documented_design_ids
R2P0001,P05927,client,documented_no_holdout,1,,DES0001,
R2P0002,P05927,network,documented_no_holdout,1,,DES0001,
R2P0003,P05927,temporal,documented_no_holdout,1,,DES0001,
R2P0004,P07480,client,not_documented,5,,,DES0239 | DES0240 | DES0241 | DES0242 | DES0243
R2P0005,P07480,network,not_documented,5,,,DES0239 | DES0240 | DES0241 | DES0242 | DES0243
R2P0006,P07480,temporal,not_documented,5,,,DES0239 | DES0240 | DES0241 | DES0242 | DES0243
R2P0007,P11328,client,not_documented,4,,,DES0002 | DES0003 | DES0004 | DES0005
R2P0008,P11328,network,not_documented,4,,,DES0002 | DES0003 | DES0004 | DES0005
R2P0009,P11328,temporal,not_documented,4,,,DES0002 | DES0003 | DES0004 | DES0005
R2P0010,P12361,client,documented_no_holdout,8,,DES0006 | DES0007 | DES0008 | DES0009 | DES0010 | DES0011 | DES0012 | DES0013,
R2P0011,P12361,network,documented_no_holdout,8,,DES0006 | DES0007 | DES0008 | DES0009 | DES0010 | DES0011 | DES0012 | DES0013,
R2P0012,P12361,temporal,documented_no_holdout,8,,DES0006 | DES0007 | DES0008 | DES0009 | DES0010 | DES0011 | DES0012 | DES0013,
R2P0013,P12435,client,not_documented,5,,DES0246 | DES0247,DES0244 | DES0245 | DES0248
R2P0014,P12435,network,not_documented,5,,,DES0244 | DES0245 | DES0246 | DES0247 | DES0248
R2P0015,P12435,temporal,not_documented,5,,,DES0244 | DES0245 | DES0246 | DES0247 | DES0248
R2P0016,P13076,client,documented_no_holdout,5,,DES0249 | DES0250 | DES0251 | DES0252 | DES0253,
R2P0017,P13076,network,documented_no_holdout,5,,DES0249 | DES0250 | DES0251 | DES0252 | DES0253,
R2P0018,P13076,temporal,documented_no_holdout,5,,DES0249 | DES0250 | DES0251 | DES0252 | DES0253,
R2P0019,P13883,client,documented_no_holdout,1,,DES0254,
R2P0020,P13883,network,documented_no_holdout,1,,DES0254,
R2P0021,P13883,temporal,documented_no_holdout,1,,DES0254,
R2P0022,P13937,client,documented_no_holdout,4,,DES0014 | DES0015 | DES0016 | DES0017,
R2P0023,P13937,network,documented_no_holdout,4,,DES0014 | DES0015 | DES0016 | DES0017,
R2P0024,P13937,temporal,documented_no_holdout,4,,DES0014 | DES0015 | DES0016 | DES0017,
R2P0025,P13958,client,documented_no_holdout,2,,DES0255 | DES0256,
R2P0026,P13958,network,documented_no_holdout,2,,DES0255 | DES0256,
R2P0027,P13958,temporal,documented_no_holdout,2,,DES0255 | DES0256,
R2P0028,P14000,client,not_documented,6,,,DES0257 | DES0258 | DES0259 | DES0260 | DES0261 | DES0262
R2P0029,P14000,network,not_documented,6,,,DES0257 | DES0258 | DES0259 | DES0260 | DES0261 | DES0262
R2P0030,P14000,temporal,not_documented,6,,,DES0257 | DES0258 | DES0259 | DES0260 | DES0261 | DES0262
R2P0031,P14188,client,not_documented,4,,DES0263 | DES0265,DES0264 | DES0266
R2P0032,P14188,network,not_documented,4,,DES0265 | DES0266,DES0263 | DES0264
R2P0033,P14188,temporal,not_documented,4,,DES0265 | DES0266,DES0263 | DES0264
R2P0034,P14255,client,documented_no_holdout,1,,DES0267,
R2P0035,P14255,network,documented_no_holdout,1,,DES0267,
R2P0036,P14255,temporal,documented_no_holdout,1,,DES0267,
R2P0037,P14374,client,documented_holdout,16,DES0275,DES0268 | DES0269 | DES0270 | DES0271 | DES0272 | DES0273 | DES0274 | DES0276 | DES0277 | DES0278 | DES0279 | DES0280 | DES0281 | DES0282 | DES0283,
R2P0038,P14374,network,documented_no_holdout,16,,DES0268 | DES0269 | DES0270 | DES0271 | DES0272 | DES0273 | DES0274 | DES0275 | DES0276 | DES0277 | DES0278 | DES0279 | DES0280 | DES0281 | DES0282 | DES0283,
R2P0039,P14374,temporal,documented_no_holdout,16,,DES0268 | DES0269 | DES0270 | DES0271 | DES0272 | DES0273 | DES0274 | DES0275 | DES0276 | DES0277 | DES0278 | DES0279 | DES0280 | DES0281 | DES0282 | DES0283,
R2P0040,P14413,client,not_documented,3,,,DES0284 | DES0285 | DES0286
R2P0041,P14413,network,not_documented,3,,,DES0284 | DES0285 | DES0286
R2P0042,P14413,temporal,documented_holdout,3,DES0286,,DES0284 | DES0285
R2P0043,P14441,client,documented_no_holdout,2,,DES0018 | DES0019,
R2P0044,P14441,network,documented_no_holdout,2,,DES0018 | DES0019,
R2P0045,P14441,temporal,documented_no_holdout,2,,DES0018 | DES0019,
R2P0046,P14774,client,documented_no_holdout,10,,DES0287 | DES0288 | DES0290 | DES0291 | DES0292 | DES0293 | DES0294 | DES0295 | DES0296 | DES0297,
R2P0047,P14774,network,documented_no_holdout,10,,DES0287 | DES0288 | DES0290 | DES0291 | DES0292 | DES0293 | DES0294 | DES0295 | DES0296 | DES0297,
R2P0048,P14774,temporal,documented_no_holdout,10,,DES0287 | DES0288 | DES0290 | DES0291 | DES0292 | DES0293 | DES0294 | DES0295 | DES0296 | DES0297,
R2P0049,P14955,client,documented_no_holdout,3,,DES0020 | DES0021 | DES0022,
R2P0050,P14955,network,documented_no_holdout,3,,DES0020 | DES0021 | DES0022,
R2P0051,P14955,temporal,documented_holdout,3,DES0022,DES0020 | DES0021,
R2P0052,P15385,client,documented_no_holdout,7,,DES0298 | DES0299 | DES0300 | DES0301 | DES0302 | DES0303 | DES0304,
R2P0053,P15385,network,documented_no_holdout,7,,DES0298 | DES0299 | DES0300 | DES0301 | DES0302 | DES0303 | DES0304,
R2P0054,P15385,temporal,documented_no_holdout,7,,DES0298 | DES0299 | DES0300 | DES0301 | DES0302 | DES0303 | DES0304,
R2P0055,P15558,client,not_documented,13,,DES0023 | DES0024 | DES0025 | DES0027 | DES0028 | DES0029 | DES0030 | DES0031 | DES0032 | DES0033 | DES0034 | DES0035,DES0026
R2P0056,P15558,network,documented_holdout,13,DES0026,DES0023 | DES0024 | DES0025 | DES0027 | DES0028 | DES0029 | DES0030 | DES0031 | DES0032 | DES0033 | DES0034 | DES0035,
R2P0057,P15558,temporal,not_documented,13,,DES0023 | DES0024 | DES0025 | DES0027 | DES0028 | DES0029 | DES0030 | DES0031 | DES0032 | DES0033 | DES0034 | DES0035,DES0026
R2P0058,P15762,client,not_documented,2,,,DES0305 | DES0306
R2P0059,P15762,network,documented_no_holdout,2,,DES0305 | DES0306,
R2P0060,P15762,temporal,not_documented,2,,,DES0305 | DES0306
R2P0061,P16004,client,not_documented,3,,,DES0036 | DES0037 | DES0038
R2P0062,P16004,network,documented_no_holdout,3,,DES0036 | DES0037 | DES0038,
R2P0063,P16004,temporal,documented_holdout,3,DES0036 | DES0037 | DES0038,,
R2P0064,P16071,client,documented_no_holdout,6,,DES0039 | DES0040 | DES0041 | DES0042 | DES0043 | DES0044,
R2P0065,P16071,network,documented_no_holdout,6,,DES0039 | DES0040 | DES0041 | DES0042 | DES0043 | DES0044,
R2P0066,P16071,temporal,documented_no_holdout,6,,DES0039 | DES0040 | DES0041 | DES0042 | DES0043 | DES0044,
R2P0067,P16192,client,documented_no_holdout,9,,DES0045 | DES0046 | DES0047 | DES0048 | DES0049 | DES0050 | DES0051 | DES0052 | DES0053,
R2P0068,P16192,network,documented_no_holdout,9,,DES0045 | DES0046 | DES0047 | DES0048 | DES0049 | DES0050 | DES0051 | DES0052 | DES0053,
R2P0069,P16192,temporal,documented_holdout,9,DES0045 | DES0046 | DES0047 | DES0048 | DES0049 | DES0050 | DES0051 | DES0052 | DES0053,,
R2P0070,P16208,client,not_documented,13,,DES0054 | DES0056 | DES0057 | DES0058 | DES0060 | DES0062 | DES0065,DES0055 | DES0059 | DES0061 | DES0063 | DES0064 | DES0066
R2P0071,P16208,network,not_documented,13,,DES0054 | DES0056 | DES0057 | DES0058 | DES0060 | DES0062 | DES0065,DES0055 | DES0059 | DES0061 | DES0063 | DES0064 | DES0066
R2P0072,P16208,temporal,not_documented,13,,DES0054 | DES0056 | DES0057 | DES0058 | DES0060 | DES0062 | DES0065,DES0055 | DES0059 | DES0061 | DES0063 | DES0064 | DES0066
R2P0073,P16217,client,documented_no_holdout,5,,DES0307 | DES0308 | DES0309 | DES0310 | DES0311,
R2P0074,P16217,network,not_documented,5,,DES0307 | DES0308 | DES0309 | DES0310,DES0311
R2P0075,P16217,temporal,documented_no_holdout,5,,DES0307 | DES0308 | DES0309 | DES0310 | DES0311,
R2P0076,P16247,client,documented_holdout,14,DES0312 | DES0325,DES0184 | DES0185 | DES0186 | DES0315 | DES0316 | DES0317 | DES0318 | DES0322 | DES0323 | DES0324,DES0319 | DES0321
R2P0077,P16247,network,documented_holdout,14,DES0325,DES0184 | DES0185 | DES0186 | DES0312 | DES0315 | DES0316 | DES0317 | DES0318 | DES0319 | DES0321 | DES0322 | DES0323 | DES0324,
R2P0078,P16247,temporal,documented_no_holdout,14,,DES0184 | DES0185 | DES0186 | DES0312 | DES0315 | DES0316 | DES0317 | DES0318 | DES0319 | DES0321 | DES0322 | DES0323 | DES0324 | DES0325,
R2P0079,P16248,client,documented_no_holdout,15,,DES0067 | DES0068 | DES0069 | DES0070 | DES0071 | DES0072 | DES0073 | DES0074 | DES0075 | DES0076 | DES0077 | DES0078 | DES0079 | DES0080 | DES0081,
R2P0080,P16248,network,documented_no_holdout,15,,DES0067 | DES0068 | DES0069 | DES0070 | DES0071 | DES0072 | DES0073 | DES0074 | DES0075 | DES0076 | DES0077 | DES0078 | DES0079 | DES0080 | DES0081,
R2P0081,P16248,temporal,documented_no_holdout,15,,DES0067 | DES0068 | DES0069 | DES0070 | DES0071 | DES0072 | DES0073 | DES0074 | DES0075 | DES0076 | DES0077 | DES0078 | DES0079 | DES0080 | DES0081,
R2P0082,P16354,client,not_documented,1,,,DES0326
R2P0083,P16354,network,documented_no_holdout,1,,DES0326,
R2P0084,P16354,temporal,documented_no_holdout,1,,DES0326,
R2P0085,P16398,client,documented_no_holdout,2,,DES0082 | DES0083,
R2P0086,P16398,network,documented_holdout,2,DES0082,DES0083,
R2P0087,P16398,temporal,documented_no_holdout,2,,DES0082 | DES0083,
R2P0088,P16406,client,not_documented,17,,DES0090 | DES0095,DES0084 | DES0085 | DES0086 | DES0087 | DES0088 | DES0089 | DES0091 | DES0092 | DES0093 | DES0094 | DES0096 | DES0097 | DES0098 | DES0099 | DES0100
R2P0089,P16406,network,not_documented,17,,DES0092,DES0084 | DES0085 | DES0086 | DES0087 | DES0088 | DES0089 | DES0090 | DES0091 | DES0093 | DES0094 | DES0095 | DES0096 | DES0097 | DES0098 | DES0099 | DES0100
R2P0090,P16406,temporal,not_documented,17,,DES0088 | DES0089 | DES0090 | DES0091 | DES0092 | DES0093 | DES0094 | DES0095 | DES0096 | DES0097 | DES0098 | DES0099 | DES0100,DES0084 | DES0085 | DES0086 | DES0087
R2P0091,P16418,client,documented_no_holdout,6,,DES0101 | DES0102 | DES0103 | DES0104 | DES0105 | DES0106,
R2P0092,P16418,network,documented_no_holdout,6,,DES0101 | DES0102 | DES0103 | DES0104 | DES0105 | DES0106,
R2P0093,P16418,temporal,documented_holdout,6,DES0101 | DES0102 | DES0103 | DES0104 | DES0105 | DES0106,,
R2P0094,P16931,client,documented_no_holdout,4,,DES0187 | DES0188 | DES0189 | DES0190,
R2P0095,P16931,network,documented_no_holdout,4,,DES0187 | DES0188 | DES0189 | DES0190,
R2P0096,P16931,temporal,documented_no_holdout,4,,DES0187 | DES0188 | DES0189 | DES0190,
R2P0097,P17056,client,not_documented,2,,DES0332,DES0331
R2P0098,P17056,network,documented_no_holdout,2,,DES0331 | DES0332,
R2P0099,P17056,temporal,documented_holdout,2,DES0332,,DES0331
