record_id,direct_title_pattern,abstract_promotion_pattern,strong_keyword_recall,quality_assurance_sample,supplemental_relevance_review,primary_component
P00043,false,false,true,false,false,strong-keyword recall review
P00100,false,false,true,false,false,strong-keyword recall review
P00182,false,false,false,true,false,venue-year-stratified quality-assurance sample
P00311,false,false,false,true,false,venue-year-stratified quality-assurance sample
P00370,false,false,false,true,false,venue-year-stratified quality-assurance sample
P00379,false,false,false,true,false,venue-year-stratified quality-assurance sample
P00499,false,false,false,true,false,venue-year-stratified quality-assurance sample
P00527,false,false,true,false,false,strong-keyword recall review
P00599,false,false,false,true,false,venue-year-stratified quality-assurance sample
P00602,true,false,false,false,false,direct title pattern
P00644,false,false,false,true,false,venue-year-stratified quality-assurance sample
P00745,false,false,true,false,false,strong-keyword recall review
P00765,false,false,false,true,false,venue-year-stratified quality-assurance sample
P00836,false,false,false,true,false,venue-year-stratified quality-assurance sample
P00837,false,false,false,true,false,venue-year-stratified quality-assurance sample
P00891,true,false,false,false,false,direct title pattern
P00918,false,false,true,false,false,strong-keyword recall review
P01106,false,false,true,false,false,strong-keyword recall review
P01172,false,false,true,false,false,strong-keyword recall review
P01265,false,false,false,true,false,venue-year-stratified quality-assurance sample
P01300,false,false,false,true,false,venue-year-stratified quality-assurance sample
P01309,false,false,false,true,false,venue-year-stratified quality-assurance sample
P01319,false,false,true,false,false,strong-keyword recall review
P01356,false,false,false,true,false,venue-year-stratified quality-assurance sample
P01391,false,false,false,true,false,venue-year-stratified quality-assurance sample
P01494,false,false,false,true,false,venue-year-stratified quality-assurance sample
P01495,false,false,true,false,false,strong-keyword recall review
P01611,false,false,true,false,false,strong-keyword recall review
P01678,false,false,false,true,false,venue-year-stratified quality-assurance sample
P01695,false,false,false,true,false,venue-year-stratified quality-assurance sample
P01718,false,false,true,false,false,strong-keyword recall review
P01767,false,false,false,true,false,venue-year-stratified quality-assurance sample
P01941,false,false,false,true,false,venue-year-stratified quality-assurance sample
P02006,false,false,false,true,false,venue-year-stratified quality-assurance sample
P02043,false,false,true,false,false,strong-keyword recall review
P02051,false,false,false,true,false,venue-year-stratified quality-assurance sample
P02064,false,false,false,true,false,venue-year-stratified quality-assurance sample
P02108,false,false,false,true,false,venue-year-stratified quality-assurance sample
P02170,false,false,true,false,false,strong-keyword recall review
P02294,false,false,false,true,false,venue-year-stratified quality-assurance sample
P02396,false,false,true,false,false,strong-keyword recall review
P02425,false,false,false,true,false,venue-year-stratified quality-assurance sample
P02532,false,false,false,true,false,venue-year-stratified quality-assurance sample
P02581,false,false,false,true,false,venue-year-stratified quality-assurance sample
P02586,false,false,false,true,false,venue-year-stratified quality-assurance sample
P02594,false,false,true,false,false,strong-keyword recall review
P02681,false,false,true,false,false,strong-keyword recall review
P02693,false,false,true,false,false,strong-keyword recall review
P02709,false,false,true,false,false,strong-keyword recall review
P02716,false,false,true,false,false,strong-keyword recall review
P02761,false,false,false,true,false,venue-year-stratified quality-assurance sample
P02773,false,false,false,true,false,venue-year-stratified quality-assurance sample
P02886,true,false,false,false,false,direct title pattern
P02964,true,false,false,false,false,direct title pattern
P03241,false,true,true,false,false,abstract promotion pattern
P03339,false,false,true,false,false,strong-keyword recall review
P03345,false,false,false,true,false,venue-year-stratified quality-assurance sample
P03348,false,false,false,true,false,venue-year-stratified quality-assurance sample
P03368,false,false,false,true,false,venue-year-stratified quality-assurance sample
P03450,false,false,false,true,false,venue-year-stratified quality-assurance sample
P03531,false,false,true,false,false,strong-keyword recall review
P03589,false,false,false,true,false,venue-year-stratified quality-assurance sample
P03654,false,false,false,true,false,venue-year-stratified quality-assurance sample
P03670,false,false,false,true,false,venue-year-stratified quality-assurance sample
P03671,false,false,false,true,false,venue-year-stratified quality-assurance sample
P03702,false,false,true,false,false,strong-keyword recall review
P03703,false,false,true,false,false,strong-keyword recall review
P03704,false,false,true,false,false,strong-keyword recall review
P03727,true,false,false,false,false,direct title pattern
P03814,false,false,false,true,false,venue-year-stratified quality-assurance sample
P03836,false,false,false,true,false,venue-year-stratified quality-assurance sample
P03850,false,false,false,true,false,venue-year-stratified quality-assurance sample
P03858,false,false,true,false,false,strong-keyword recall review
P03879,false,false,false,true,false,venue-year-stratified quality-assurance sample
P03901,false,false,false,true,false,venue-year-stratified quality-assurance sample
P03975,true,false,false,false,false,direct title pattern
P04104,false,false,true,false,false,strong-keyword recall review
P04165,true,false,false,false,false,direct title pattern
P04186,false,false,false,true,false,venue-year-stratified quality-assurance sample
P04229,false,false,false,true,false,venue-year-stratified quality-assurance sample
P04423,false,false,false,true,false,venue-year-stratified quality-assurance sample
P04448,false,false,false,true,false,venue-year-stratified quality-assurance sample
P04488,false,false,true,false,false,strong-keyword recall review
P04583,false,false,false,true,false,venue-year-stratified quality-assurance sample
P04588,false,false,false,true,false,venue-year-stratified quality-assurance sample
P04749,false,false,true,false,false,strong-keyword recall review
P04756,false,false,true,false,false,strong-keyword recall review
P04786,false,false,false,true,false,venue-year-stratified quality-assurance sample
