paper_id,title,authors,venue,venue_family,year,track,publication_type,pages,doi,canonical_url,task_family,input_unit,label_scheme,class_cardinality,traffic_input_evidence,learned_classifier_evidence,fixed_label_evidence,centrality_evidence,evidence_location,evidence_source_url
P05927,Detecting VoIP Data Streams: Approaches Using Hidden Representation Learning.,Jonathan Quance; Michael Napolitano; Maya Kapoor; Thomas Moyer; Siddharth Krishnan,AAAI,Artificial intelligence,2023,Main research proceedings,Full research paper,15519-15527,10.1609/aaai.v37i13.26840,https://doi.org/10.1609/AAAI.V37I13.26840,security-state classification,packet and flow matrices,RTP versus non-RTP,2,The classifier consumes packet and flow matrices gathered from passively observable network traffic.,The evaluation trains a MAPLE convolutional neural network from data.,The reported evaluation assigns one of the fixed labels in this scheme: RTP versus non-RTP.,This classification or detection task is a central system contribution or central evaluated task.,PDF p. 1,https://ojs.aaai.org/index.php/AAAI/article/download/26840/26612
P07480,Yet Another Traffic Classifier: A Masked Autoencoder Based Traffic Transformer with Multi-Level Flow Representation.,Ruijie Zhao; Mingwei Zhan; Xianwen Deng; Yanhao Wang; Yijun Wang; Guan Gui; Zhi Xue,AAAI,Artificial intelligence,2023,Main research proceedings,Full research paper,5420-5427,10.1609/aaai.v37i4.25674,https://doi.org/10.1609/AAAI.V37I4.25674,security-state classification,A network flow represented as an MFR byte matrix.,Traffic service/application or malicious-traffic category depending on dataset.,"Released evaluation configuration states 7 ISCX-VPN labels, 8 ISCX-Tor labels, 20 USTC-TFC labels, and 10 CIC-IoT labels.",Raw PCAP flows are converted into a multi-level flow-representation byte matrix.,Masked-autoencoder-pretrained Transformer fine-tuned with a supervised traffic classifier.,"Released evaluation configuration states 7 ISCX-VPN labels, 8 ISCX-Tor labels, 20 USTC-TFC labels, and 10 CIC-IoT labels.",The main method and evaluation of “Yet Another Traffic Classifier: A Masked Autoencoder Based Traffic Transformer with Multi-Level Flow Representation.” centre on the learned multiclass classifier described in this row.,PDF p. 1,https://doi.org/10.1609/aaai.v37i4.25674
P11328,Dual-Channel Interactive Graph Transformer for Traffic Classification with Message-Aware Flow Representation.,Xing Qiu; Guang Cheng 0001; Dandan Niu; Weizhou Zhu; Nan Fu,AAAI,Artificial intelligence,2025,Main research proceedings,Full research paper,685-693,10.1609/aaai.v39i1.32050,https://doi.org/10.1609/AAAI.V39I1.32050,semantic inference,message-level packet flows,reported traffic categories,>=2,The classifier consumes message-level packet flows gathered from passively observable network traffic.,The evaluation trains a dual-channel graph transformer from data.,The reported evaluation assigns one of the fixed labels in this scheme: reported traffic categories.,This classification or detection task is a central system contribution or central evaluated task.,PDF p. 1,https://ojs.aaai.org/index.php/AAAI/article/download/32050/34205
P12361,MalDetectFormer: Leveraging Sparse SpatioTemporal Information for Effective Malicious Traffic Detection.,Shuai Zhang 0026; Bo Li (disambiguation); Haoyi Zhou; Yu Fan (disambiguation),AAAI,Artificial intelligence,2025,Main research proceedings,Full research paper,22533-22541,10.1609/aaai.v39i21.34411,https://doi.org/10.1609/AAAI.V39I21.34411,security-state classification,traffic-node flow observations,malicious versus benign traffic,2,The classifier consumes traffic-node flow observations gathered from passively observable network traffic.,The evaluation trains a MalDetectFormer transformer from data.,The reported evaluation assigns one of the fixed labels in this scheme: malicious versus benign traffic.,This classification or detection task is a central system contribution or central evaluated task.,PDF p. 1,https://doi.org/10.1609/AAAI.V39I21.34411
P12435,MIETT: Multi-Instance Encrypted Traffic Transformer for Encrypted Traffic Classification.,Xu-Yang Chen; Lu Han; De-Chuan Zhan; Han-Jia Ye,AAAI,Artificial intelligence,2025,Main research proceedings,Full research paper,15922-15929,10.1609/aaai.v39i15.33748,https://doi.org/10.1609/AAAI.V39I15.33748,security-state classification,A flow comprising multiple packet instances.,"Service, mobile application, or IoT attack type.","Table 2 reports tasks with 6 VPN-service, 7 Tor-service, 212 Android-app, 196 iOS-app, and 7 IoT-attack labels.",Raw PCAP packets are grouped into flows and encoded at packet and flow levels.,Two-level multi-instance Transformer trained/fine-tuned for encrypted-traffic classification.,"Table 2 reports tasks with 6 VPN-service, 7 Tor-service, 212 Android-app, 196 iOS-app, and 7 IoT-attack labels.",The main method and evaluation of “MIETT: Multi-Instance Encrypted Traffic Transformer for Encrypted Traffic Classification.” centre on the learned multiclass classifier described in this row.,PDF p. 1,https://doi.org/10.1609/aaai.v39i15.33748
P13076,Revolutionizing Encrypted Traffic Classification with MH-Net: A Multi-View Heterogeneous Graph Model.,Haozhen Zhang; Haodong Yue; Xi Xiao; Le Yu; Qing Li; Zhen Ling; Ye Zhang,AAAI,Artificial intelligence,2025,Main research proceedings,Full research paper,1048-1056,10.1609/aaai.v39i1.32091,https://doi.org/10.1609/AAAI.V39I1.32091,semantic inference,A bidirectional flow represented by heterogeneous byte graphs.,"VPN/Tor user behavior (e.g. chat, email/mail, file, P2P, streaming/video/audio, VoIP/browsing).",Released configurations explicitly enumerate 6 VPN behavior classes and 8 Tor behavior classes.,Raw packet bytes from flows form 4-bit and 8-bit heterogeneous traffic graphs.,Heterogeneous GNN plus recurrent/MLP classification head trained using cross-entropy.,Released configurations explicitly enumerate 6 VPN behavior classes and 8 Tor behavior classes.,The main method and evaluation of “Revolutionizing Encrypted Traffic Classification with MH-Net: A Multi-View Heterogeneous Graph Model.” centre on the learned multiclass classifier described in this row.,PDF p. 1,https://doi.org/10.1609/aaai.v39i1.32091
P13883,BOTection: Bot Detection by Building Markov Chain Models of Bots Network Behavior.,Bushra A. AlAhmadi; Enrico Mariconti; Riccardo Spolaor; Gianluca Stringhini; Ivan Martinovic,AsiaCCS,Security and privacy,2020,Main research proceedings,Full research paper,652-664,10.1145/3320269.3372202,https://doi.org/10.1145/3320269.3372202,security-state classification,Network flow represented by Markov-chain behavior,Botnet family,12,Network flows are transformed into Markov-chain behavioral features using high-level flow attributes.,The Markov-chain features train a learned classifier for bot detection and bot-family identification.,The evaluation explicitly classifies malicious flows among 12 botnet families and reports family-classification F1.,Bot-family traffic classification is one of the paper's two central evaluated classification tasks.,PDF p. 1,https://doi.org/10.1145/3320269.3372202
P13937,Preparing Network Intrusion Detection Deep Learning Models with Minimal Data Using Adversarial Domain Adaptation.,Elisa Bertino; Dinesh C. Verma; Ankush Singla,AsiaCCS,Security and privacy,2020,Main research proceedings,Full research paper,127-140,10.1145/3320269.3384718,https://doi.org/10.1145/3320269.3384718,security-state classification,network flow records,normal versus intrusion traffic,2,The classifier consumes network flow records gathered from passively observable network traffic.,The evaluation trains a adversarial domain-adaptation classifier from data.,The reported evaluation assigns one of the fixed labels in this scheme: normal versus intrusion traffic.,This classification or detection task is a central system contribution or central evaluated task.,PDF p. 1 at the authoritative source URL,https://doi.org/10.1145/3320269.3384718
P13958,Your Smart Home Can't Keep a Secret: Towards Automated Fingerprinting of IoT Traffic.,Shuaike Dong; Zhou Li; Di Tang; Jiongyi Chen; Menghan Sun; Kehuan Zhang,AsiaCCS,Security and privacy,2020,Main research proceedings,Full research paper,47-59,10.1145/3320269.3384732,https://doi.org/10.1145/3320269.3384732,endpoint or platform identification,One smart-home device traffic sequence/window.,Device category,6,Smart-home packet traffic observed behind NAPT or VPN is aggregated into traffic sequences/windows.,An LSTM-RNN sequence classifier and learned random-forest baselines are trained for device fingerprinting.,"The paper explicitly defines and evaluates six mutually exclusive device categories: voice assistant, IoT hub, smart plug/IoT kit, network camera, interactive machine, and non-IoT device.","Learned IoT-device/category identification under NAPT, VPN, and noisy settings is the central contribution and evaluation.",PDF p. 1,https://doi.org/10.1145/3320269.3384732
P14000,MalPhase: Fine-Grained Malware Detection Using Network Flow Data.,Michal Piskozub; Fabio De Gaspari; Frederick Barr-Smith; Luigi V. Mancini; Ivan Martinovic,AsiaCCS,Security and privacy,2021,Main research proceedings,Full research paper,774-786,10.1145/3433210.3453101,https://doi.org/10.1145/3433210.3453101,security-state classification,A sliding per-host window of M flows.,Malware type and malware family.,"The type classifier explicitly evaluates five classes: adware, ransomware, trojan, virus, and worm; family classification is also evaluated.","Per-host windows of bidirectional network-flow features, including packet sizes/counts, RTT, and payload entropy.","Denoising autoencoder followed by supervised DNN classifiers for detection, type, and family.","The type classifier explicitly evaluates five classes: adware, ransomware, trojan, virus, and worm; family classification is also evaluated.",The main method and evaluation of “MalPhase: Fine-Grained Malware Detection Using Network Flow Data.” centre on the learned multiclass classifier described in this row.,PDF p. 1,https://doi.org/10.1145/3433210.3453101
