venue,venue_family,year,enumerated_records,retained_records,candidate_records,included_papers,dblp_stream_url,dblp_toc_url,official_proceedings_url,coverage_status,retrieval_date
AAAI,Artificial intelligence,2020,1865,1711,37,0,https://dblp.org/streams/conf/aaai,https://dblp.org/db/conf/aaai/aaai2020.html,https://aaai.org/proceeding/aaai-34-2020/,Complete,2026-08-01
AAAI,Artificial intelligence,2021,1962,1843,39,0,https://dblp.org/streams/conf/aaai,https://dblp.org/db/conf/aaai/aaai2021.html,https://aaai.org/proceeding/aaai-35-2021/,Complete,2026-08-01
AAAI,Artificial intelligence,2022,1625,1492,25,0,https://dblp.org/streams/conf/aaai,https://dblp.org/db/conf/aaai/aaai2022.html,https://aaai.org/proceeding/aaai-36-2022/,Complete,2026-08-01
AAAI,Artificial intelligence,2023,2037,1868,39,2,https://dblp.org/streams/conf/aaai,https://dblp.org/db/conf/aaai/aaai2023.html,https://aaai.org/proceeding/aaai-37-2023/,Complete,2026-08-01
AAAI,Artificial intelligence,2024,2870,2687,43,0,https://dblp.org/streams/conf/aaai,https://dblp.org/db/conf/aaai/aaai2024.html,https://aaai.org/proceeding/aaai-38-2024/,Complete,2026-08-01
AAAI,Artificial intelligence,2025,3511,3371,64,4,https://dblp.org/streams/conf/aaai,https://dblp.org/db/conf/aaai/aaai2025.html,https://aaai.org/proceeding/aaai-39-2025/,Complete,2026-08-01
ACM CCS,Security and privacy,2020,149,148,18,0,https://dblp.org/streams/conf/ccs,https://dblp.org/db/conf/ccs/ccs2020.html,https://doi.org/10.1145/3372297,Complete,2026-08-01
ACM CCS,Security and privacy,2021,226,214,23,1,https://dblp.org/streams/conf/ccs,https://dblp.org/db/conf/ccs/ccs2021.html,https://doi.org/10.1145/3460120,Complete,2026-08-01
ACM CCS,Security and privacy,2022,288,232,14,1,https://dblp.org/streams/conf/ccs,https://dblp.org/db/conf/ccs/ccs2022.html,https://doi.org/10.1145/3548606,Complete,2026-08-01
ACM CCS,Security and privacy,2023,293,245,20,1,https://dblp.org/streams/conf/ccs,https://dblp.org/db/conf/ccs/ccs2023.html,https://doi.org/10.1145/3576915,Complete,2026-08-01
ACM CCS,Security and privacy,2024,419,361,24,2,https://dblp.org/streams/conf/ccs,https://dblp.org/db/conf/ccs/ccs2024.html,https://doi.org/10.1145/3658644,Complete,2026-08-01
ACM CCS,Security and privacy,2025,396,351,33,7,https://dblp.org/streams/conf/ccs,https://dblp.org/db/conf/ccs/ccs2025.html,https://doi.org/10.1145/3719027,Complete,2026-08-01
AsiaCCS,Security and privacy,2020,88,70,13,3,https://dblp.org/streams/conf/asiaccs,https://dblp.org/db/conf/asiaccs/asiaccs2020.html,https://doi.org/10.1145/3320269,Complete,2026-08-01
AsiaCCS,Security and privacy,2021,74,73,13,1,https://dblp.org/streams/conf/asiaccs,https://dblp.org/db/conf/asiaccs/asiaccs2021.html,https://doi.org/10.1145/3433210,Complete,2026-08-01
