cohort_scope,protocol_id,configuration_id,class_name,estimator,feature,category,category_code,termination_sensitive,contributing_sessions,observations,weighted_prevalence
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,packet_pooled,direction,s2c,-1,false,300,7240,0.557182320442
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,packet_pooled,direction,c2s,1,false,300,7240,0.442817679558
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,packet_pooled,tcp_flag_pattern,ACK,16,false,300,7240,0.645165745856
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,packet_pooled,tcp_flag_pattern,PSH|ACK,24,false,300,7240,0.354834254144
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,session_balanced,direction,s2c,-1,false,300,7240,0.556700011646
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,session_balanced,direction,c2s,1,false,300,7240,0.443299988354
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,session_balanced,tcp_flag_pattern,ACK,16,false,300,7240,0.651371778293
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,session_balanced,tcp_flag_pattern,PSH|ACK,24,false,300,7240,0.348628221707
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,packet_pooled,direction,s2c,-1,false,300,10170,0.552802359882
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,packet_pooled,direction,c2s,1,false,300,10170,0.447197640118
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,packet_pooled,tcp_flag_pattern,ACK,16,false,300,10170,0.500983284169
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,packet_pooled,tcp_flag_pattern,PSH|ACK,24,false,300,10170,0.499016715831
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,session_balanced,direction,s2c,-1,false,300,10170,0.553453965262
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,session_balanced,direction,c2s,1,false,300,10170,0.446546034738
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,session_balanced,tcp_flag_pattern,ACK,16,false,300,10170,0.503973480316
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,session_balanced,tcp_flag_pattern,PSH|ACK,24,false,300,10170,0.496026519684
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,packet_pooled,direction,s2c,-1,false,300,9238,0.550876813163
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,packet_pooled,direction,c2s,1,false,300,9238,0.449123186837
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,packet_pooled,tcp_flag_pattern,ACK,16,false,300,9238,0.515587789565
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,packet_pooled,tcp_flag_pattern,PSH|ACK,24,false,300,9238,0.484412210435
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,session_balanced,direction,s2c,-1,false,300,9238,0.550341733212
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,session_balanced,direction,c2s,1,false,300,9238,0.449658266788
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,session_balanced,tcp_flag_pattern,ACK,16,false,300,9238,0.522062422685
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,session_balanced,tcp_flag_pattern,PSH|ACK,24,false,300,9238,0.477937577315
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,packet_pooled,direction,s2c,-1,false,275,7737,0.554090732842
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,packet_pooled,direction,c2s,1,false,275,7737,0.445909267158
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,packet_pooled,tcp_flag_pattern,ACK,16,false,275,7737,0.540261083107
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,packet_pooled,tcp_flag_pattern,PSH|ACK,24,false,275,7737,0.459738916893
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,session_balanced,direction,s2c,-1,false,275,7737,0.554700643573
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,session_balanced,direction,c2s,1,false,275,7737,0.445299356427
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,session_balanced,tcp_flag_pattern,ACK,16,false,275,7737,0.542594608411
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,session_balanced,tcp_flag_pattern,PSH|ACK,24,false,275,7737,0.457405391589
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,getpocket.com,packet_pooled,direction,s2c,-1,false,300,6551,0.56037246222
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,getpocket.com,packet_pooled,direction,c2s,1,false,300,6551,0.43962753778
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,getpocket.com,packet_pooled,tcp_flag_pattern,ACK,16,false,300,6551,0.506487559151
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,getpocket.com,packet_pooled,tcp_flag_pattern,PSH|ACK,24,false,300,6551,0.493512440849
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,getpocket.com,session_balanced,direction,s2c,-1,false,300,6551,0.573005705017
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,getpocket.com,session_balanced,direction,c2s,1,false,300,6551,0.426994294983
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,getpocket.com,session_balanced,tcp_flag_pattern,ACK,16,false,300,6551,0.520169631633
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,getpocket.com,session_balanced,tcp_flag_pattern,PSH|ACK,24,false,300,6551,0.479830368367
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,joinhoney.com,packet_pooled,direction,s2c,-1,false,234,5650,0.551327433628
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,joinhoney.com,packet_pooled,direction,c2s,1,false,234,5650,0.448672566372
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,joinhoney.com,packet_pooled,tcp_flag_pattern,ACK,16,false,234,5650,0.535221238938
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,joinhoney.com,packet_pooled,tcp_flag_pattern,PSH|ACK,24,false,234,5650,0.464778761062
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,joinhoney.com,session_balanced,direction,s2c,-1,false,234,5650,0.55141412665
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,joinhoney.com,session_balanced,direction,c2s,1,false,234,5650,0.44858587335
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,joinhoney.com,session_balanced,tcp_flag_pattern,ACK,16,false,234,5650,0.536634345242
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,joinhoney.com,session_balanced,tcp_flag_pattern,PSH|ACK,24,false,234,5650,0.463365654758
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,trustarc.com,packet_pooled,direction,s2c,-1,false,300,11314,0.554003888987
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,trustarc.com,packet_pooled,direction,c2s,1,false,300,11314,0.445996111013
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,trustarc.com,packet_pooled,tcp_flag_pattern,ACK,16,false,300,11314,0.553650344706
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,trustarc.com,packet_pooled,tcp_flag_pattern,PSH|ACK,24,false,300,11314,0.446349655294
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,trustarc.com,session_balanced,direction,s2c,-1,false,300,11314,0.553635426625
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,trustarc.com,session_balanced,direction,c2s,1,false,300,11314,0.446364573375
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,trustarc.com,session_balanced,tcp_flag_pattern,ACK,16,false,300,11314,0.554437229984
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,trustarc.com,session_balanced,tcp_flag_pattern,PSH|ACK,24,false,300,11314,0.445562770016
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,waze.com,packet_pooled,direction,s2c,-1,false,300,11850,0.534430379747
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,waze.com,packet_pooled,direction,c2s,1,false,300,11850,0.465569620253
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,waze.com,packet_pooled,tcp_flag_pattern,ACK,16,false,300,11850,0.518143459916
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,waze.com,packet_pooled,tcp_flag_pattern,PSH|ACK,24,false,300,11850,0.481856540084
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,waze.com,session_balanced,direction,s2c,-1,false,300,11850,0.534752250359
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,waze.com,session_balanced,direction,c2s,1,false,300,11850,0.465247749641
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,waze.com,session_balanced,tcp_flag_pattern,ACK,16,false,300,11850,0.520558599716
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,waze.com,session_balanced,tcp_flag_pattern,PSH|ACK,24,false,300,11850,0.479441400284
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,ubuntu.com,packet_pooled,direction,s2c,-1,false,300,11703,0.526446210373
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,ubuntu.com,packet_pooled,direction,c2s,1,false,300,11703,0.473553789627
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,ubuntu.com,packet_pooled,tcp_flag_pattern,ACK,16,false,300,11703,0.476373579424
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,ubuntu.com,packet_pooled,tcp_flag_pattern,PSH|ACK,24,false,300,11703,0.523626420576
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,ubuntu.com,session_balanced,direction,s2c,-1,false,300,11703,0.526760208652
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,ubuntu.com,session_balanced,direction,c2s,1,false,300,11703,0.473239791348
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,ubuntu.com,session_balanced,tcp_flag_pattern,ACK,16,false,300,11703,0.476207371031
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,ubuntu.com,session_balanced,tcp_flag_pattern,PSH|ACK,24,false,300,11703,0.523792628969
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,web.de,packet_pooled,direction,s2c,-1,false,300,6986,0.5606928142
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,web.de,packet_pooled,direction,c2s,1,false,300,6986,0.4393071858
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,web.de,packet_pooled,tcp_flag_pattern,ACK,16,false,300,6986,0.518608645863
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,web.de,packet_pooled,tcp_flag_pattern,FIN|ACK,17,true,300,6986,0.00100200400802
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,web.de,packet_pooled,tcp_flag_pattern,PSH|ACK,24,false,300,6986,0.480246206699
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,web.de,packet_pooled,tcp_flag_pattern,RST,4,true,300,6986,0.000143143429717
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,web.de,session_balanced,direction,s2c,-1,false,300,6986,0.560766007008
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,web.de,session_balanced,direction,c2s,1,false,300,6986,0.439233992992
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,web.de,session_balanced,tcp_flag_pattern,ACK,16,false,300,6986,0.521594066664
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,web.de,session_balanced,tcp_flag_pattern,FIN|ACK,17,true,300,6986,0.000619710318419
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,web.de,session_balanced,tcp_flag_pattern,PSH|ACK,24,false,300,6986,0.477696132927
