cohort_scope,protocol_id,configuration_id,campaign,os,browser,network,class_name,label_id,split,evaluation_role,sessions,unique_content_hashes,packet_observations,minimum_packets_per_session,maximum_packets_per_session
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,2026,ubuntu,chromium,network-a,arin.net,1,test,general,45,45,1082,18,35
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,2026,ubuntu,chromium,network-a,arin.net,1,train,general,210,210,5082,18,36
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,2026,ubuntu,chromium,network-a,arin.net,1,validation,general,45,45,1076,18,32
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,2026,ubuntu,chromium,network-a,adblockplus.org,0,test,general,45,44,1537,22,41
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,2026,ubuntu,chromium,network-a,adblockplus.org,0,train,general,210,206,7066,20,42
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,2026,ubuntu,chromium,network-a,adblockplus.org,0,validation,general,45,45,1567,23,42
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,2026,ubuntu,chromium,network-a,flipboard.com,2,test,general,45,45,1381,17,41
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,2026,ubuntu,chromium,network-a,flipboard.com,2,train,general,210,210,6440,16,41
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,2026,ubuntu,chromium,network-a,flipboard.com,2,validation,general,45,45,1417,19,42
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,2026,ubuntu,chromium,network-a,garmin.com,3,test,general,45,41,1144,19,39
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,2026,ubuntu,chromium,network-a,garmin.com,3,train,general,210,193,5402,19,41
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,2026,ubuntu,chromium,network-a,garmin.com,3,validation,general,45,41,1191,21,41
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,2026,ubuntu,chromium,network-a,getpocket.com,4,test,general,45,45,993,11,42
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,2026,ubuntu,chromium,network-a,getpocket.com,4,train,general,210,210,4585,9,42
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,2026,ubuntu,chromium,network-a,getpocket.com,4,validation,general,45,45,973,11,41
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,2026,ubuntu,chromium,network-a,joinhoney.com,5,test,general,45,35,844,20,30
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,2026,ubuntu,chromium,network-a,joinhoney.com,5,train,general,210,161,3967,19,32
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,2026,ubuntu,chromium,network-a,joinhoney.com,5,validation,general,45,34,839,20,28
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,2026,ubuntu,chromium,network-a,trustarc.com,6,test,general,45,45,1694,29,42
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,2026,ubuntu,chromium,network-a,trustarc.com,6,train,general,210,207,7907,26,42
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,2026,ubuntu,chromium,network-a,trustarc.com,6,validation,general,45,43,1713,27,42
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,2026,ubuntu,chromium,network-a,waze.com,8,test,general,45,45,1758,20,42
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,2026,ubuntu,chromium,network-a,waze.com,8,train,general,210,210,8287,21,42
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,2026,ubuntu,chromium,network-a,waze.com,8,validation,general,45,45,1805,31,42
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,2026,ubuntu,chromium,network-a,ubuntu.com,7,test,general,45,45,1762,29,41
