cohort_scope,estimator,direction_stratum,pair_id,contrast,protocol_id,left_configuration_id,right_configuration_id,class_name,feature,feature_kind,distance_statistic,distance,left_sessions,right_sessions,left_observations,right_observations,secondary_direction_stratified
general_all_sessions_sensitivity,packet_pooled,c2s,P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,frame_length_bytes,numeric,weighted_ks,0.256394260761,300,300,3312,3206,true
general_all_sessions_sensitivity,packet_pooled,c2s,P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,iat_us,numeric,weighted_ks,0.19178563141,300,300,3312,3206,true
general_all_sessions_sensitivity,packet_pooled,c2s,P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,ip_total_length_bytes,numeric,weighted_ks,0.256394260761,300,300,3312,3206,true
general_all_sessions_sensitivity,packet_pooled,c2s,P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,ipv4_ttl,numeric,weighted_ks,3.47499806708e-14,300,300,3312,3206,true
general_all_sessions_sensitivity,packet_pooled,c2s,P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,tcp_payload_length_bytes,numeric,weighted_ks,0.256394260761,300,300,3312,3206,true
general_all_sessions_sensitivity,packet_pooled,c2s,P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,tcp_window_raw,numeric,weighted_ks,0.226027361137,300,300,3312,3206,true
general_all_sessions_sensitivity,packet_pooled,c2s,P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,adblockplus.org,frame_length_bytes,numeric,weighted_ks,0.34060027853,300,300,5992,4548,true
general_all_sessions_sensitivity,packet_pooled,c2s,P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,adblockplus.org,iat_us,numeric,weighted_ks,0.357071081583,300,300,5992,4548,true
general_all_sessions_sensitivity,packet_pooled,c2s,P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,adblockplus.org,ip_total_length_bytes,numeric,weighted_ks,0.34060027853,300,300,5992,4548,true
general_all_sessions_sensitivity,packet_pooled,c2s,P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,adblockplus.org,ipv4_ttl,numeric,weighted_ks,1.99951166735e-13,300,300,5992,4548,true
general_all_sessions_sensitivity,packet_pooled,c2s,P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,adblockplus.org,tcp_payload_length_bytes,numeric,weighted_ks,0.34060027853,300,300,5992,4548,true
general_all_sessions_sensitivity,packet_pooled,c2s,P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,adblockplus.org,tcp_window_raw,numeric,weighted_ks,0.00762552943649,300,300,5992,4548,true
general_all_sessions_sensitivity,packet_pooled,c2s,P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,flipboard.com,frame_length_bytes,numeric,weighted_ks,0.154557259978,300,300,4522,4149,true
