pair_id,condition,contrast_type,direction_index,evaluation_id,source_configuration_id,target_configuration_id,protocol_id,label_schema_id
P001,client_browser,browser,1,E001,C26-U-FF-A,C26-U-CR-A,general_2026,general_labels_v1
P001,client_browser,browser,2,E002,C26-U-CR-A,C26-U-FF-A,general_2026,general_labels_v1
P002,client_browser,browser,1,E003,C26-U-FF-B,C26-U-CR-B,general_2026,general_labels_v1
P002,client_browser,browser,2,E004,C26-U-CR-B,C26-U-FF-B,general_2026,general_labels_v1
P003,client_browser,browser,1,E005,C26-W-FF-A,C26-W-CR-A,general_2026,general_labels_v1
P003,client_browser,browser,2,E006,C26-W-CR-A,C26-W-FF-A,general_2026,general_labels_v1
P004,client_browser,browser,1,E007,C26-W-FF-B,C26-W-CR-B,general_2026,general_labels_v1
P004,client_browser,browser,2,E008,C26-W-CR-B,C26-W-FF-B,general_2026,general_labels_v1
P005,client_os,os,1,E009,C26-U-FF-A,C26-W-FF-A,general_2026,general_labels_v1
P005,client_os,os,2,E010,C26-W-FF-A,C26-U-FF-A,general_2026,general_labels_v1
P006,client_os,os,1,E011,C26-U-FF-B,C26-W-FF-B,general_2026,general_labels_v1
P006,client_os,os,2,E012,C26-W-FF-B,C26-U-FF-B,general_2026,general_labels_v1
P007,client_os,os,1,E013,C26-U-CR-A,C26-W-CR-A,general_2026,general_labels_v1
P007,client_os,os,2,E014,C26-W-CR-A,C26-U-CR-A,general_2026,general_labels_v1
P008,client_os,os,1,E015,C26-U-CR-B,C26-W-CR-B,general_2026,general_labels_v1
P008,client_os,os,2,E016,C26-W-CR-B,C26-U-CR-B,general_2026,general_labels_v1
P009,client_browser_and_os,browser_and_os,1,E017,C26-U-FF-A,C26-W-CR-A,general_2026,general_labels_v1
P009,client_browser_and_os,browser_and_os,2,E018,C26-W-CR-A,C26-U-FF-A,general_2026,general_labels_v1
P010,client_browser_and_os,browser_and_os,1,E019,C26-U-CR-A,C26-W-FF-A,general_2026,general_labels_v1
P010,client_browser_and_os,browser_and_os,2,E020,C26-W-FF-A,C26-U-CR-A,general_2026,general_labels_v1
P011,client_browser_and_os,browser_and_os,1,E021,C26-U-FF-B,C26-W-CR-B,general_2026,general_labels_v1
P011,client_browser_and_os,browser_and_os,2,E022,C26-W-CR-B,C26-U-FF-B,general_2026,general_labels_v1
P012,client_browser_and_os,browser_and_os,1,E023,C26-U-CR-B,C26-W-FF-B,general_2026,general_labels_v1
P012,client_browser_and_os,browser_and_os,2,E024,C26-W-FF-B,C26-U-CR-B,general_2026,general_labels_v1
P013,network,network,1,E025,C26-U-FF-A,C26-U-FF-B,general_2026,general_labels_v1
P013,network,network,2,E026,C26-U-FF-B,C26-U-FF-A,general_2026,general_labels_v1
P014,network,network,1,E027,C26-U-CR-A,C26-U-CR-B,general_2026,general_labels_v1
P014,network,network,2,E028,C26-U-CR-B,C26-U-CR-A,general_2026,general_labels_v1
P015,network,network,1,E029,C26-W-FF-A,C26-W-FF-B,general_2026,general_labels_v1
P015,network,network,2,E030,C26-W-FF-B,C26-W-FF-A,general_2026,general_labels_v1
P016,network,network,1,E031,C26-W-CR-A,C26-W-CR-B,general_2026,general_labels_v1
P016,network,network,2,E032,C26-W-CR-B,C26-W-CR-A,general_2026,general_labels_v1
P017,temporal,temporal,1,E033,C24-U-FF-A,C26-U-FF-A,temporal_2024_to_2026,temporal_labels_v1
P018,temporal,temporal,1,E034,C24-U-CR-A,C26-U-CR-A,temporal_2024_to_2026,temporal_labels_v1
