feature,display_name,contrast,contrast_display,direction_stratum,median_distance,mean_distance,class_pair_units
frame_length_bytes,Captured frame length,client_browser,Browser only,c2s,0.125227048398,0.17791038056,40
frame_length_bytes,Captured frame length,client_browser_and_os,Browser + OS,c2s,0.211520561911,0.212668539168,40
frame_length_bytes,Captured frame length,client_os,OS only,c2s,0.180114961769,0.201653207629,40
frame_length_bytes,Captured frame length,network,Network A/B,c2s,0.0546023729357,0.073409159161,40
frame_length_bytes,Captured frame length,temporal,Temporal,c2s,0.176960455409,0.188826560203,20
iat_us,Inter-arrival time,client_browser,Browser only,c2s,0.148017991708,0.162879810929,40
iat_us,Inter-arrival time,client_browser_and_os,Browser + OS,c2s,0.398998517577,0.392382805701,40
iat_us,Inter-arrival time,client_os,OS only,c2s,0.38481331238,0.388767113847,40
iat_us,Inter-arrival time,network,Network A/B,c2s,0.0978155111799,0.102940736366,40
iat_us,Inter-arrival time,temporal,Temporal,c2s,0.291992455859,0.288863470112,20
ip_total_length_bytes,IPv4 total length,client_browser,Browser only,c2s,0.125227048398,0.17791038056,40
ip_total_length_bytes,IPv4 total length,client_browser_and_os,Browser + OS,c2s,0.211520561911,0.212668539168,40
ip_total_length_bytes,IPv4 total length,client_os,OS only,c2s,0.180114961769,0.201653207629,40
ip_total_length_bytes,IPv4 total length,network,Network A/B,c2s,0.0546023729357,0.073409159161,40
ip_total_length_bytes,IPv4 total length,temporal,Temporal,c2s,0.176960455409,0.188826560203,20
ipv4_ttl,IPv4 TTL / hop limit,client_browser,Browser only,c2s,1.72084568817e-15,0.05,40
ipv4_ttl,IPv4 TTL / hop limit,client_browser_and_os,Browser + OS,c2s,1,0.95,40
ipv4_ttl,IPv4 TTL / hop limit,client_os,OS only,c2s,1,0.95,40
ipv4_ttl,IPv4 TTL / hop limit,network,Network A/B,c2s,1.94289029309e-15,0.05,40
ipv4_ttl,IPv4 TTL / hop limit,temporal,Temporal,c2s,3.38618022511e-15,4.09117184574e-15,20
tcp_payload_length_bytes,TCP payload length,client_browser,Browser only,c2s,0.125227048398,0.17791038056,40
tcp_payload_length_bytes,TCP payload length,client_browser_and_os,Browser + OS,c2s,0.211520561911,0.212668539168,40
tcp_payload_length_bytes,TCP payload length,client_os,OS only,c2s,0.180114961769,0.201653207629,40
tcp_payload_length_bytes,TCP payload length,network,Network A/B,c2s,0.0546023729357,0.073409159161,40
tcp_payload_length_bytes,TCP payload length,temporal,Temporal,c2s,0.176960455409,0.188826560203,20
