cohort_scope,protocol_id,configuration_id,class_name,position,sessions_in_group,contributing_sessions,contributor_fraction
heldout_primary,general_2026,C26-U-CR-A,arin.net,1,45,45,1
heldout_primary,general_2026,C26-U-CR-A,arin.net,2,45,45,1
heldout_primary,general_2026,C26-U-CR-A,arin.net,3,45,45,1
heldout_primary,general_2026,C26-U-CR-A,arin.net,4,45,45,1
heldout_primary,general_2026,C26-U-CR-A,arin.net,5,45,45,1
heldout_primary,general_2026,C26-U-CR-A,arin.net,6,45,45,1
heldout_primary,general_2026,C26-U-CR-A,arin.net,7,45,45,1
heldout_primary,general_2026,C26-U-CR-A,arin.net,8,45,45,1
heldout_primary,general_2026,C26-U-CR-A,arin.net,9,45,45,1
heldout_primary,general_2026,C26-U-CR-A,arin.net,10,45,45,1
heldout_primary,general_2026,C26-U-CR-A,arin.net,11,45,45,1
heldout_primary,general_2026,C26-U-CR-A,arin.net,12,45,45,1
heldout_primary,general_2026,C26-U-CR-A,arin.net,13,45,45,1
heldout_primary,general_2026,C26-U-CR-A,arin.net,14,45,45,1
heldout_primary,general_2026,C26-U-CR-A,arin.net,15,45,45,1
heldout_primary,general_2026,C26-U-CR-A,arin.net,16,45,45,1
heldout_primary,general_2026,C26-U-CR-A,arin.net,17,45,45,1
heldout_primary,general_2026,C26-U-CR-A,arin.net,18,45,45,1
heldout_primary,general_2026,C26-U-CR-A,arin.net,19,45,42,0.933333333333
heldout_primary,general_2026,C26-U-CR-A,arin.net,20,45,40,0.888888888889
heldout_primary,general_2026,C26-U-CR-A,arin.net,21,45,39,0.866666666667
heldout_primary,general_2026,C26-U-CR-A,arin.net,22,45,38,0.844444444444
heldout_primary,general_2026,C26-U-CR-A,arin.net,23,45,29,0.644444444444
heldout_primary,general_2026,C26-U-CR-A,arin.net,24,45,21,0.466666666667
heldout_primary,general_2026,C26-U-CR-A,arin.net,25,45,18,0.4
heldout_primary,general_2026,C26-U-CR-A,arin.net,26,45,14,0.311111111111
heldout_primary,general_2026,C26-U-CR-A,arin.net,27,45,12,0.266666666667
heldout_primary,general_2026,C26-U-CR-A,arin.net,28,45,7,0.155555555556
heldout_primary,general_2026,C26-U-CR-A,arin.net,29,45,5,0.111111111111
heldout_primary,general_2026,C26-U-CR-A,arin.net,30,45,2,0.0444444444444
heldout_primary,general_2026,C26-U-CR-A,arin.net,31,45,1,0.0222222222222
heldout_primary,general_2026,C26-U-CR-A,arin.net,32,45,1,0.0222222222222
heldout_primary,general_2026,C26-U-CR-A,arin.net,33,45,1,0.0222222222222
heldout_primary,general_2026,C26-U-CR-A,arin.net,34,45,1,0.0222222222222
heldout_primary,general_2026,C26-U-CR-A,arin.net,35,45,1,0.0222222222222
heldout_primary,general_2026,C26-U-CR-A,arin.net,36,45,0,0
heldout_primary,general_2026,C26-U-CR-A,arin.net,37,45,0,0
heldout_primary,general_2026,C26-U-CR-A,arin.net,38,45,0,0
heldout_primary,general_2026,C26-U-CR-A,arin.net,39,45,0,0
heldout_primary,general_2026,C26-U-CR-A,arin.net,40,45,0,0
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,1,45,45,1
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,2,45,45,1
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,3,45,45,1
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,4,45,45,1
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,5,45,45,1
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,6,45,45,1
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,7,45,45,1
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,8,45,45,1
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,9,45,45,1
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,10,45,45,1
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,11,45,45,1
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,12,45,45,1
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,13,45,45,1
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,14,45,45,1
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,15,45,45,1
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,16,45,45,1
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,17,45,45,1
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,18,45,45,1
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,19,45,45,1
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,20,45,45,1
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,21,45,45,1
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,22,45,45,1
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,23,45,44,0.977777777778
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,24,45,41,0.911111111111
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,25,45,40,0.888888888889
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,26,45,39,0.866666666667
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,27,45,35,0.777777777778
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,28,45,35,0.777777777778
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,29,45,34,0.755555555556
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,30,45,32,0.711111111111
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,31,45,31,0.688888888889
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,32,45,30,0.666666666667
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,33,45,27,0.6
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,34,45,26,0.577777777778
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,35,45,22,0.488888888889
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,36,45,21,0.466666666667
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,37,45,18,0.4
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,38,45,18,0.4
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,39,45,18,0.4
heldout_primary,general_2026,C26-U-CR-A,adblockplus.org,40,45,18,0.4
heldout_primary,general_2026,C26-U-CR-A,flipboard.com,1,45,45,1
heldout_primary,general_2026,C26-U-CR-A,flipboard.com,2,45,45,1
heldout_primary,general_2026,C26-U-CR-A,flipboard.com,3,45,45,1
heldout_primary,general_2026,C26-U-CR-A,flipboard.com,4,45,45,1
heldout_primary,general_2026,C26-U-CR-A,flipboard.com,5,45,45,1
