pair_id,contrast,protocol_id,left_configuration_id,right_configuration_id,class_name,position,feature,distance_statistic,distance,left_contributing_sessions,right_contributing_sessions,minimum_contributing_sessions,support_status,included_in_primary_summary
P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,1,direction,total_variation,0,45,45,45,primary_supported,true
P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,2,direction,total_variation,0.0222222222222,45,45,45,primary_supported,true
P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,3,direction,total_variation,0.155555555556,45,45,45,primary_supported,true
P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,4,direction,total_variation,0.133333333333,45,45,45,primary_supported,true
P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,5,direction,total_variation,0.111111111111,45,45,45,primary_supported,true
P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,6,direction,total_variation,0.0222222222222,45,45,45,primary_supported,true
P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,7,direction,total_variation,0.244444444444,45,45,45,primary_supported,true
P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,8,direction,total_variation,0.244444444444,45,45,45,primary_supported,true
P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,9,direction,total_variation,0.288888888889,45,45,45,primary_supported,true
P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,10,direction,total_variation,0.533333333333,45,45,45,primary_supported,true
P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,11,direction,total_variation,0.4,45,45,45,primary_supported,true
P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,12,direction,total_variation,0.45322997416,43,45,43,primary_supported,true
P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,13,direction,total_variation,0.129914529915,39,45,39,primary_supported,true
P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,14,direction,total_variation,0.344444444444,30,45,30,primary_supported,true
P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,15,direction,total_variation,0.355555555556,30,45,30,primary_supported,true
P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,16,direction,total_variation,0.278571428571,28,45,28,primary_supported,true
P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,17,direction,total_variation,0.278571428571,28,45,28,primary_supported,true
P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,18,direction,total_variation,0.225396825397,28,45,28,primary_supported,true
P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,19,direction,total_variation,0.338624338624,27,42,27,primary_supported,true
P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,20,direction,total_variation,0.314814814815,27,40,27,primary_supported,true
P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,21,direction,total_variation,0.025641025641,27,39,27,primary_supported,true
P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,22,direction,total_variation,0.0546558704453,26,38,26,primary_supported,true
P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,23,direction,total_variation,0.0172413793103,26,29,26,primary_supported,true
P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,24,direction,total_variation,0.0281385281385,22,21,21,primary_supported,true
P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,25,direction,total_variation,0.127777777778,20,18,18,primary_supported,true
P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,26,direction,total_variation,0.0882352941176,17,14,14,primary_supported,true
P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,27,direction,total_variation,0.0833333333333,16,12,12,primary_supported,true
