cohort_scope,protocol_id,configuration_id,class_name,estimator,direction_stratum,feature,unit,contributing_sessions,observations,mean,q10,q25,median,q75,q90,iqr,minimum,maximum
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,packet_pooled,all,frame_length_bytes,bytes,300,7240,2367.05745856,60,60,295,2934,8694,2874,60,17334
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,packet_pooled,all,iat_us,milliseconds,300,6940,22.6612070605,0.014,0.066,0.205,1.575,17.327,1.509,0,4348.192
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,packet_pooled,all,ip_total_length_bytes,bytes,300,7240,2350.15220994,40,40,281,2920,8680,2880,40,17320
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,packet_pooled,all,ipv4_ttl,raw_value,300,7240,64,64,64,64,64,64,0,64,64
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,packet_pooled,all,tcp_payload_length_bytes,bytes,300,7240,2310.15220994,0,0,241,2880,8640,2880,0,17280
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,packet_pooled,all,tcp_window_raw,raw_value,300,7240,65423.4777624,65535,65535,65535,65535,65535,0,50400,65535
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,packet_pooled,c2s,frame_length_bytes,bytes,300,3206,218.934809732,60,60,60,609,680,549,60,740
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,packet_pooled,c2s,iat_us,milliseconds,300,3206,3.51945102932,0.012,0.034,0.087,0.524,4.798,0.49,0,4348.192
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,packet_pooled,c2s,ip_total_length_bytes,bytes,300,3206,200.476918278,40,40,40,595,666,555,40,726
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,packet_pooled,c2s,ipv4_ttl,raw_value,300,3206,64,64,64,64,64,64,0,64,64
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,packet_pooled,c2s,tcp_payload_length_bytes,bytes,300,3206,160.476918278,0,0,0,555,626,555,0,686
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,packet_pooled,c2s,tcp_window_raw,raw_value,300,3206,65283.1531503,65535,65535,65535,65535,65535,0,50400,65535
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,packet_pooled,s2c,frame_length_bytes,bytes,300,4034,4074.26648488,60,60,1514,7349,11574,7289,60,17334
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,packet_pooled,s2c,iat_us,milliseconds,300,3734,39.0962552223,0.07,0.164,0.297,2.83,205.874,2.666,0,310.213
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,packet_pooled,s2c,ip_total_length_bytes,bytes,300,4034,4058.59519088,40,40,1500,7335,11560,7295,40,17320
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,packet_pooled,s2c,ipv4_ttl,raw_value,300,4034,64,64,64,64,64,64,0,64,64
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,packet_pooled,s2c,tcp_payload_length_bytes,bytes,300,4034,4018.59519088,0,0,1460,7295,11520,7295,0,17280
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,packet_pooled,s2c,tcp_window_raw,raw_value,300,4034,65535,65535,65535,65535,65535,65535,0,65535,65535
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,session_balanced,all,frame_length_bytes,bytes,300,7240,2396.93399358,60,60,295,2934,8694,2874,60,17334
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,session_balanced,all,iat_us,milliseconds,300,6940,23.0137516111,0.015,0.07,0.209,1.725,17.962,1.655,0,4348.192
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,session_balanced,all,ip_total_length_bytes,bytes,300,7240,2380.02056052,40,40,281,2920,8680,2880,40,17320
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,session_balanced,all,ipv4_ttl,raw_value,300,7240,64,64,64,64,64,64,0,64,64
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,session_balanced,all,tcp_payload_length_bytes,bytes,300,7240,2340.02056052,0,0,241,2880,8640,2880,0,17280
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,session_balanced,all,tcp_window_raw,raw_value,300,7240,65430.2311465,65535,65535,65535,65535,65535,0,50400,65535
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,session_balanced,c2s,frame_length_bytes,bytes,300,3206,219.499120204,60,60,60,609,680,549,60,740
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,session_balanced,c2s,iat_us,milliseconds,300,3206,3.27950331091,0.012,0.034,0.089,0.531,5.401,0.497,0,4348.192
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,session_balanced,c2s,ip_total_length_bytes,bytes,300,3206,201.04360669,40,40,40,595,666,555,40,726
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,session_balanced,c2s,ipv4_ttl,raw_value,300,3206,64,64,64,64,64,64,0,64,64
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,session_balanced,c2s,tcp_payload_length_bytes,bytes,300,3206,161.04360669,0,0,0,555,626,555,0,686
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,session_balanced,c2s,tcp_window_raw,raw_value,300,3206,65302.9491761,65535,65535,65535,65535,65535,0,50400,65535
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,session_balanced,s2c,frame_length_bytes,bytes,300,4034,4142.63206128,60,60,1514,7691,11574,7631,60,17334
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,session_balanced,s2c,iat_us,milliseconds,300,3734,40.0987648248,0.1,0.169,0.31,2.909,207.13,2.74,0,310.213
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,session_balanced,s2c,ip_total_length_bytes,bytes,300,4034,4126.93928771,40,40,1500,7677,11560,7637,40,17320
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,session_balanced,s2c,ipv4_ttl,raw_value,300,4034,64,64,64,64,64,64,0,64,64
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,session_balanced,s2c,tcp_payload_length_bytes,bytes,300,4034,4086.93928771,0,0,1460,7637,11520,7637,0,17280
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,arin.net,session_balanced,s2c,tcp_window_raw,raw_value,300,4034,65535,65535,65535,65535,65535,65535,0,65535,65535
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,packet_pooled,all,frame_length_bytes,bytes,300,10170,1306.64906588,60,60,85,736,4584,676,60,18774
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,packet_pooled,all,iat_us,milliseconds,300,9870,22.0317480243,0.001,0.029,0.19,1.341,13.813,1.312,0,2214.125
