pair_id,feature_family,included_feature_count,included_features,condition,contrast_type,configuration_a,configuration_b,family_mean_of_class_mean_distance,family_mean_of_class_median_distance,family_mean_of_class_max_distance
P001,direction_flags,2,direction;tcp_flag_pattern,client_browser,browser,C26-U-FF-A,C26-U-CR-A,0.014200605375,0.0123988698967,0.0353380863572
P001,host_path,2,ipv4_ttl;tcp_window_raw,client_browser,browser,C26-U-FF-A,C26-U-CR-A,0.0140248931992,0.0056697638405,0.0592981038117
P001,size_packetization,1,ip_total_length_bytes,client_browser,browser,C26-U-FF-A,C26-U-CR-A,0.105065423966,0.0928556709488,0.240500994676
P001,timing,1,iat_us,client_browser,browser,C26-U-FF-A,C26-U-CR-A,0.10650591442,0.0935988751953,0.186002905516
P002,direction_flags,2,direction;tcp_flag_pattern,client_browser,browser,C26-U-FF-B,C26-U-CR-B,0.0209281257798,0.0168963341454,0.0729044912678
P002,host_path,2,ipv4_ttl;tcp_window_raw,client_browser,browser,C26-U-FF-B,C26-U-CR-B,0.0717697508175,0.00364491330474,0.327820462165
P002,size_packetization,1,ip_total_length_bytes,client_browser,browser,C26-U-FF-B,C26-U-CR-B,0.123581900679,0.118083339323,0.210164424267
P002,timing,1,iat_us,client_browser,browser,C26-U-FF-B,C26-U-CR-B,0.113475724767,0.10480572944,0.257834084084
P003,direction_flags,2,direction;tcp_flag_pattern,client_browser,browser,C26-W-FF-A,C26-W-CR-A,0.0228626786279,0.0152190015385,0.0757259001161
P003,host_path,2,ipv4_ttl;tcp_window_raw,client_browser,browser,C26-W-FF-A,C26-W-CR-A,0.0377073029699,0.0258931629952,0.121458487312
P003,size_packetization,1,ip_total_length_bytes,client_browser,browser,C26-W-FF-A,C26-W-CR-A,0.0839079367997,0.0644732161984,0.229423151374
P003,timing,1,iat_us,client_browser,browser,C26-W-FF-A,C26-W-CR-A,0.0771219548424,0.0689757159579,0.152601626016
P004,direction_flags,2,direction;tcp_flag_pattern,client_browser,browser,C26-W-FF-B,C26-W-CR-B,0.0415647222712,0.0218083261316,0.169312169312
P004,host_path,2,ipv4_ttl;tcp_window_raw,client_browser,browser,C26-W-FF-B,C26-W-CR-B,0.109284972319,0.0325249776571,0.444236334887
