pair_id,condition,contrast_type,configuration_a,configuration_b,feature,feature_family,include_in_composite,class_count,class_mean_distance,class_median_distance,class_max_distance
P001,client_browser,browser,C26-U-FF-A,C26-U-CR-A,direction,direction_flags,true,10,0.013240904217,0.0103922384103,0.035953964507
P001,client_browser,browser,C26-U-FF-A,C26-U-CR-A,frame_length_bytes,redundant_reported_only,false,10,0.105065423966,0.0928556709488,0.240500994676
P001,client_browser,browser,C26-U-FF-A,C26-U-CR-A,iat_us,timing,true,10,0.10650591442,0.0935988751953,0.186002905516
P001,client_browser,browser,C26-U-FF-A,C26-U-CR-A,ip_total_length_bytes,size_packetization,true,10,0.105065423966,0.0928556709488,0.240500994676
P001,client_browser,browser,C26-U-FF-A,C26-U-CR-A,ipv4_ttl,host_path,true,10,6.11732886568e-15,2.77555756156e-15,2.12052597703e-14
P001,client_browser,browser,C26-U-FF-A,C26-U-CR-A,tcp_flag_pattern,direction_flags,true,10,0.0151603065329,0.014405501383,0.0347222082075
P001,client_browser,browser,C26-U-FF-A,C26-U-CR-A,tcp_payload_length_bytes,redundant_reported_only,false,10,0.105065423966,0.0928556709488,0.240500994676
P001,client_browser,browser,C26-U-FF-A,C26-U-CR-A,tcp_window_raw,host_path,true,10,0.0280497863984,0.011339527681,0.118596207623
P002,client_browser,browser,C26-U-FF-B,C26-U-CR-B,direction,direction_flags,true,10,0.0154782604469,0.00661092414862,0.0697309904948
P002,client_browser,browser,C26-U-FF-B,C26-U-CR-B,frame_length_bytes,redundant_reported_only,false,10,0.123581900679,0.118083339323,0.210164424267
P002,client_browser,browser,C26-U-FF-B,C26-U-CR-B,iat_us,timing,true,10,0.113475724767,0.10480572944,0.257834084084
P002,client_browser,browser,C26-U-FF-B,C26-U-CR-B,ip_total_length_bytes,size_packetization,true,10,0.123581900679,0.118083339323,0.210164424267
P002,client_browser,browser,C26-U-FF-B,C26-U-CR-B,ipv4_ttl,host_path,true,10,0.130780681374,5.49560397189e-15,0.597102264208
P002,client_browser,browser,C26-U-FF-B,C26-U-CR-B,tcp_flag_pattern,direction_flags,true,10,0.0263779911127,0.0271817441421,0.0760779920408
P002,client_browser,browser,C26-U-FF-B,C26-U-CR-B,tcp_payload_length_bytes,redundant_reported_only,false,10,0.123581900679,0.118083339323,0.210164424267
P002,client_browser,browser,C26-U-FF-B,C26-U-CR-B,tcp_window_raw,host_path,true,10,0.0127588202609,0.00728982660947,0.0585386601232
P003,client_browser,browser,C26-W-FF-A,C26-W-CR-A,direction,direction_flags,true,10,0.0272995092463,0.0178760149599,0.102013162989
P003,client_browser,browser,C26-W-FF-A,C26-W-CR-A,frame_length_bytes,redundant_reported_only,false,10,0.0839079367997,0.0644732161984,0.229423151374
P003,client_browser,browser,C26-W-FF-A,C26-W-CR-A,iat_us,timing,true,10,0.0771219548424,0.0689757159579,0.152601626016
P003,client_browser,browser,C26-W-FF-A,C26-W-CR-A,ip_total_length_bytes,size_packetization,true,10,0.0839079367997,0.0644732161984,0.229423151374
