pair_id,family_count,overall_marginal_composite_mean,overall_marginal_composite_median_sensitivity,overall_marginal_composite_max_sensitivity,condition,contrast_type,configuration_a,configuration_b
P001,4,0.0599492092399,0.0511307949703,0.13028502259,client_browser,browser,C26-U-FF-A,C26-U-CR-A
P002,4,0.0824388755108,0.0608575790534,0.217180865446,client_browser,browser,C26-U-FF-B,C26-U-CR-B
P003,4,0.05539996831,0.0436402741725,0.144802291205,client_browser,browser,C26-W-FF-A,C26-W-CR-A
P004,4,0.0952090250849,0.0602410863227,0.282739300524,client_browser,browser,C26-W-FF-B,C26-W-CR-B
P005,4,0.287960701248,0.286671048156,0.376357565791,client_os,os,C26-U-FF-A,C26-W-FF-A
P006,4,0.270224825793,0.272412732847,0.358747191438,client_os,os,C26-U-FF-B,C26-W-FF-B
P007,4,0.249089170255,0.251546450388,0.336088242683,client_os,os,C26-U-CR-A,C26-W-CR-A
P008,4,0.234864336857,0.245407862647,0.351168545095,client_os,os,C26-U-CR-B,C26-W-CR-B
P009,4,0.264173177929,0.261127474003,0.368679917261,client_browser_and_os,browser_and_os,C26-U-FF-A,C26-W-CR-A
P010,4,0.272883007374,0.272575224582,0.33233636353,client_browser_and_os,browser_and_os,C26-U-CR-A,C26-W-FF-A
P011,4,0.268708581628,0.262205813188,0.423477322875,client_browser_and_os,browser_and_os,C26-U-FF-B,C26-W-CR-B
P012,4,0.26225229606,0.259785828134,0.373831820113,client_browser_and_os,browser_and_os,C26-U-CR-B,C26-W-FF-B
P013,4,0.0599326499713,0.054105271809,0.109368063973,network,network,C26-U-FF-A,C26-U-FF-B
P014,4,0.0779744956297,0.0537416599965,0.195139692391,network,network,C26-U-CR-A,C26-U-CR-B
P015,4,0.0731836637046,0.065998559994,0.139863692089,network,network,C26-W-FF-A,C26-W-FF-B
P016,4,0.0999237935158,0.0727161493492,0.271675292002,network,network,C26-W-CR-A,C26-W-CR-B
P017,4,0.161975464025,0.163554819305,0.264438784397,temporal,temporal,C24-U-FF-A,C26-U-FF-A
P018,4,0.147122133414,0.139366841167,0.224929367775,temporal,temporal,C24-U-CR-A,C26-U-CR-A
