pair_id,condition,sequential_feature_count,overall_sequential_composite_mean,overall_sequential_composite_median_sensitivity
P001,client_browser,6,0.182023227518,0.172372210706
P002,client_browser,6,0.224625018956,0.22151440133
P003,client_browser,6,0.163588488173,0.149091414417
P004,client_browser,6,0.207779038284,0.196944783113
P005,client_os,6,0.383328347608,0.374977040001
P006,client_os,6,0.404090302544,0.391476098882
P007,client_os,6,0.357958308924,0.339285824798
P008,client_os,6,0.355125693495,0.338519120151
P009,client_browser_and_os,6,0.36568852136,0.357898703096
P010,client_browser_and_os,6,0.376791322946,0.361160949682
P011,client_browser_and_os,6,0.393677288504,0.37761229492
P012,client_browser_and_os,6,0.387333941029,0.37245945856
P013,network,6,0.198150105676,0.192432057403
P014,network,6,0.197451133604,0.199061551978
P015,network,6,0.165205700105,0.149135365564
P016,network,6,0.208823880157,0.196225642018
P017,temporal,6,0.29856287833,0.284592160275
P018,temporal,6,0.278975972237,0.264975604902
