pair_id,condition,feature,supported_positions,first_supported_position,last_supported_position,mean_of_position_class_mean_distances,median_of_position_class_mean_distances,maximum_position_class_mean_distance
P001,client_browser,signed_ip_total_length_bytes,40,1,40,0.297748069426,0.264697845852,0.665048393341
P001,client_browser,direction,40,1,40,0.134334122722,0.132456538755,0.253286073604
P001,client_browser,iat_us,39,2,40,0.3326989151,0.329428257849,0.491907523831
P001,client_browser,ipv4_ttl,40,1,40,1.89152044997e-16,1.7763568394e-16,5.99520433298e-16
P001,client_browser,tcp_window_raw,40,1,40,0.0338606800024,0.0341205720093,0.0648289295393
P001,client_browser,tcp_payload_length_bytes,40,1,40,0.293497577857,0.273530049768,0.657963608208
P002,client_browser,signed_ip_total_length_bytes,40,1,40,0.348082071973,0.346511134119,0.863693379791
P002,client_browser,direction,40,1,40,0.182726624364,0.19901529274,0.282852895762
P002,client_browser,iat_us,39,2,40,0.352369116153,0.335143745144,0.710994967093
P002,client_browser,ipv4_ttl,40,1,40,0.120912873372,0.108223258223,0.228888888889
P002,client_browser,tcp_window_raw,40,1,40,0.0133388186087,0.0104723190089,0.0543582163094
P002,client_browser,tcp_payload_length_bytes,40,1,40,0.330320609263,0.329720658745,0.865915602013
P003,client_browser,signed_ip_total_length_bytes,40,1,40,0.223394047983,0.222929080121,0.385543941154
P003,client_browser,direction,40,1,40,0.11376074922,0.108846302749,0.235253581107
P003,client_browser,iat_us,39,2,40,0.226603896751,0.201618273326,0.452891986063
P003,client_browser,ipv4_ttl,40,1,40,0.11376074922,0.108846302749,0.235253581107
P003,client_browser,tcp_window_raw,40,1,40,0.0851753752843,0.0415984065856,0.303801780875
P003,client_browser,tcp_payload_length_bytes,40,1,40,0.218836110581,0.210710120974,0.365892373209
P004,client_browser,signed_ip_total_length_bytes,40,1,40,0.260489725504,0.258172369636,0.420193573364
P004,client_browser,direction,40,1,40,0.119770246835,0.112865489291,0.223368176539
P004,client_browser,iat_us,39,2,40,0.268117531967,0.247549361208,0.464986449864
P004,client_browser,ipv4_ttl,40,1,40,0.243603580168,0.239206647012,0.328617886179
P004,client_browser,tcp_window_raw,40,1,40,0.095418938978,0.0688463027488,0.228881145954
P004,client_browser,tcp_payload_length_bytes,40,1,40,0.25927420625,0.25502852878,0.382198993418
P005,client_os,signed_ip_total_length_bytes,40,1,40,0.562893602459,0.575527334147,0.771134339915
P005,client_os,direction,40,1,40,0.303784383555,0.306549616982,0.730917537747
P005,client_os,iat_us,39,2,40,0.564665761401,0.575223979957,0.719705768486
P005,client_os,ipv4_ttl,40,1,40,0.242237934029,0.203054551619,0.634626403407
P005,client_os,tcp_window_raw,40,1,40,0.103298380824,0.0597996383084,0.378234610917
P005,client_os,tcp_payload_length_bytes,40,1,40,0.523090023381,0.529707118995,0.634610917538
P006,client_os,signed_ip_total_length_bytes,40,1,40,0.604847431343,0.598832332266,0.868006194348
P006,client_os,direction,40,1,40,0.309561348693,0.322325560618,0.845567169957
P006,client_os,iat_us,39,2,40,0.558403517294,0.537879087376,0.801091753775
P006,client_os,ipv4_ttl,40,1,40,0.274111089075,0.237374053228,0.842578397213
P006,client_os,tcp_window_raw,40,1,40,0.108403221598,0.077831410406,0.358683701123
P006,client_os,tcp_payload_length_bytes,40,1,40,0.569215207261,0.574614149401,0.76543554007
