cohort_scope,estimator,direction_stratum,pair_id,contrast,protocol_id,left_configuration_id,right_configuration_id,class_name,feature,feature_kind,distance_statistic,distance,left_sessions,right_sessions,left_observations,right_observations,secondary_direction_stratified
general_all_sessions_sensitivity,packet_pooled,all,P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,direction,categorical,total_variation,0.0230051052521,300,300,7110,7240,false
general_all_sessions_sensitivity,packet_pooled,all,P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,frame_length_bytes,numeric,weighted_ks,0.115653775322,300,300,7110,7240,false
general_all_sessions_sensitivity,packet_pooled,all,P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,iat_us,numeric,weighted_ks,0.137219379874,300,300,6810,6940,false
general_all_sessions_sensitivity,packet_pooled,all,P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,ip_total_length_bytes,numeric,weighted_ks,0.115653775322,300,300,7110,7240,false
general_all_sessions_sensitivity,packet_pooled,all,P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,ipv4_ttl,numeric,weighted_ks,9.45910016981e-14,300,300,7110,7240,false
general_all_sessions_sensitivity,packet_pooled,all,P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,tcp_flag_pattern,categorical,total_variation,0.0294132845343,300,300,7110,7240,false
general_all_sessions_sensitivity,packet_pooled,all,P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,tcp_payload_length_bytes,numeric,weighted_ks,0.115653775322,300,300,7110,7240,false
general_all_sessions_sensitivity,packet_pooled,all,P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,arin.net,tcp_window_raw,numeric,weighted_ks,0.10624305507,300,300,7110,7240,false
general_all_sessions_sensitivity,packet_pooled,all,P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,adblockplus.org,direction,categorical,total_variation,0.0395610926196,300,300,12310,10170,false
general_all_sessions_sensitivity,packet_pooled,all,P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,adblockplus.org,frame_length_bytes,numeric,weighted_ks,0.239628428814,300,300,12310,10170,false
general_all_sessions_sensitivity,packet_pooled,all,P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,adblockplus.org,iat_us,numeric,weighted_ks,0.178590451895,300,300,12010,9870,false
general_all_sessions_sensitivity,packet_pooled,all,P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,adblockplus.org,ip_total_length_bytes,numeric,weighted_ks,0.239628428814,300,300,12310,10170,false
general_all_sessions_sensitivity,packet_pooled,all,P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,adblockplus.org,ipv4_ttl,numeric,weighted_ks,1.36890498936e-13,300,300,12310,10170,false
general_all_sessions_sensitivity,packet_pooled,all,P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,adblockplus.org,tcp_flag_pattern,categorical,total_variation,0.015426139064,300,300,12310,10170,false
general_all_sessions_sensitivity,packet_pooled,all,P001,client_browser,general_2026,C26-U-FF-A,C26-U-CR-A,adblockplus.org,tcp_payload_length_bytes,numeric,weighted_ks,0.239628428814,300,300,12310,10170,false
