ordinal,evaluation_id,evaluation_kind,condition,protocol_id,label_schema_id,source_configuration_id,target_configuration_id,source_train_split,source_train_evaluation_role,source_train_sessions,source_validation_split,source_validation_evaluation_role,source_validation_sessions,target_test_split,target_test_evaluation_role,target_test_sessions,class_count
1,E001,cross_condition,client_browser,general_2026,general_labels_v1,C26-U-FF-A,C26-U-CR-A,train,general,2100,validation,general,450,test,general,450,10
2,E002,cross_condition,client_browser,general_2026,general_labels_v1,C26-U-CR-A,C26-U-FF-A,train,general,2100,validation,general,450,test,general,450,10
3,E003,cross_condition,client_browser,general_2026,general_labels_v1,C26-U-FF-B,C26-U-CR-B,train,general,2100,validation,general,450,test,general,450,10
4,E004,cross_condition,client_browser,general_2026,general_labels_v1,C26-U-CR-B,C26-U-FF-B,train,general,2100,validation,general,450,test,general,450,10
5,E005,cross_condition,client_browser,general_2026,general_labels_v1,C26-W-FF-A,C26-W-CR-A,train,general,2100,validation,general,450,test,general,450,10
6,E006,cross_condition,client_browser,general_2026,general_labels_v1,C26-W-CR-A,C26-W-FF-A,train,general,2100,validation,general,450,test,general,450,10
7,E007,cross_condition,client_browser,general_2026,general_labels_v1,C26-W-FF-B,C26-W-CR-B,train,general,2100,validation,general,450,test,general,450,10
8,E008,cross_condition,client_browser,general_2026,general_labels_v1,C26-W-CR-B,C26-W-FF-B,train,general,2100,validation,general,450,test,general,450,10
9,E009,cross_condition,client_os,general_2026,general_labels_v1,C26-U-FF-A,C26-W-FF-A,train,general,2100,validation,general,450,test,general,450,10
10,E010,cross_condition,client_os,general_2026,general_labels_v1,C26-W-FF-A,C26-U-FF-A,train,general,2100,validation,general,450,test,general,450,10
11,E011,cross_condition,client_os,general_2026,general_labels_v1,C26-U-FF-B,C26-W-FF-B,train,general,2100,validation,general,450,test,general,450,10
12,E012,cross_condition,client_os,general_2026,general_labels_v1,C26-W-FF-B,C26-U-FF-B,train,general,2100,validation,general,450,test,general,450,10
13,E013,cross_condition,client_os,general_2026,general_labels_v1,C26-U-CR-A,C26-W-CR-A,train,general,2100,validation,general,450,test,general,450,10
14,E014,cross_condition,client_os,general_2026,general_labels_v1,C26-W-CR-A,C26-U-CR-A,train,general,2100,validation,general,450,test,general,450,10
15,E015,cross_condition,client_os,general_2026,general_labels_v1,C26-U-CR-B,C26-W-CR-B,train,general,2100,validation,general,450,test,general,450,10
16,E016,cross_condition,client_os,general_2026,general_labels_v1,C26-W-CR-B,C26-U-CR-B,train,general,2100,validation,general,450,test,general,450,10
17,E017,cross_condition,client_browser_and_os,general_2026,general_labels_v1,C26-U-FF-A,C26-W-CR-A,train,general,2100,validation,general,450,test,general,450,10
18,E018,cross_condition,client_browser_and_os,general_2026,general_labels_v1,C26-W-CR-A,C26-U-FF-A,train,general,2100,validation,general,450,test,general,450,10
19,E019,cross_condition,client_browser_and_os,general_2026,general_labels_v1,C26-U-CR-A,C26-W-FF-A,train,general,2100,validation,general,450,test,general,450,10
20,E020,cross_condition,client_browser_and_os,general_2026,general_labels_v1,C26-W-FF-A,C26-U-CR-A,train,general,2100,validation,general,450,test,general,450,10
21,E021,cross_condition,client_browser_and_os,general_2026,general_labels_v1,C26-U-FF-B,C26-W-CR-B,train,general,2100,validation,general,450,test,general,450,10
22,E022,cross_condition,client_browser_and_os,general_2026,general_labels_v1,C26-W-CR-B,C26-U-FF-B,train,general,2100,validation,general,450,test,general,450,10
23,E023,cross_condition,client_browser_and_os,general_2026,general_labels_v1,C26-U-CR-B,C26-W-FF-B,train,general,2100,validation,general,450,test,general,450,10
24,E024,cross_condition,client_browser_and_os,general_2026,general_labels_v1,C26-W-FF-B,C26-U-CR-B,train,general,2100,validation,general,450,test,general,450,10
25,E025,cross_condition,network,general_2026,general_labels_v1,C26-U-FF-A,C26-U-FF-B,train,general,2100,validation,general,450,test,general,450,10
26,E026,cross_condition,network,general_2026,general_labels_v1,C26-U-FF-B,C26-U-FF-A,train,general,2100,validation,general,450,test,general,450,10
27,E027,cross_condition,network,general_2026,general_labels_v1,C26-U-CR-A,C26-U-CR-B,train,general,2100,validation,general,450,test,general,450,10
28,E028,cross_condition,network,general_2026,general_labels_v1,C26-U-CR-B,C26-U-CR-A,train,general,2100,validation,general,450,test,general,450,10
29,E029,cross_condition,network,general_2026,general_labels_v1,C26-W-FF-A,C26-W-FF-B,train,general,2100,validation,general,450,test,general,450,10
30,E030,cross_condition,network,general_2026,general_labels_v1,C26-W-FF-B,C26-W-FF-A,train,general,2100,validation,general,450,test,general,450,10
31,E031,cross_condition,network,general_2026,general_labels_v1,C26-W-CR-A,C26-W-CR-B,train,general,2100,validation,general,450,test,general,450,10
32,E032,cross_condition,network,general_2026,general_labels_v1,C26-W-CR-B,C26-W-CR-A,train,general,2100,validation,general,450,test,general,450,10
33,E033,cross_condition,temporal,temporal_2024_to_2026,temporal_labels_v1,C24-U-FF-A,C26-U-FF-A,train,source_fit,2100,validation,source_fit,450,test,target_test_primary,450,10
34,E034,cross_condition,temporal,temporal_2024_to_2026,temporal_labels_v1,C24-U-CR-A,C26-U-CR-A,train,source_fit,2100,validation,source_fit,450,test,target_test_primary,450,10
35,E035,matched_reference,matched,temporal_2024_to_2026,temporal_labels_v1,C24-U-FF-A,C24-U-FF-A,train,source_fit,2100,validation,source_fit,450,test,source_test,450,10
36,E036,matched_reference,matched,temporal_2024_to_2026,temporal_labels_v1,C24-U-CR-A,C24-U-CR-A,train,source_fit,2100,validation,source_fit,450,test,source_test,450,10
37,E037,matched_reference,matched,general_2026,general_labels_v1,C26-U-FF-A,C26-U-FF-A,train,general,2100,validation,general,450,test,general,450,10
38,E038,matched_reference,matched,general_2026,general_labels_v1,C26-U-FF-B,C26-U-FF-B,train,general,2100,validation,general,450,test,general,450,10
39,E039,matched_reference,matched,general_2026,general_labels_v1,C26-U-CR-A,C26-U-CR-A,train,general,2100,validation,general,450,test,general,450,10
40,E040,matched_reference,matched,general_2026,general_labels_v1,C26-U-CR-B,C26-U-CR-B,train,general,2100,validation,general,450,test,general,450,10
41,E041,matched_reference,matched,general_2026,general_labels_v1,C26-W-FF-A,C26-W-FF-A,train,general,2100,validation,general,450,test,general,450,10
42,E042,matched_reference,matched,general_2026,general_labels_v1,C26-W-FF-B,C26-W-FF-B,train,general,2100,validation,general,450,test,general,450,10
43,E043,matched_reference,matched,general_2026,general_labels_v1,C26-W-CR-A,C26-W-CR-A,train,general,2100,validation,general,450,test,general,450,10
44,E044,matched_reference,matched,general_2026,general_labels_v1,C26-W-CR-B,C26-W-CR-B,train,general,2100,validation,general,450,test,general,450,10
