pair_id,contrast,contrast_type,protocol_id,label_schema_id,left_configuration_id,right_configuration_id,unordered_configuration_key,directed_evaluation_ids,directed_count,class_units
P001,client_browser,browser,general_2026,general_labels_v1,C26-U-FF-A,C26-U-CR-A,C26-U-CR-A|C26-U-FF-A,E001;E002,2,10
P002,client_browser,browser,general_2026,general_labels_v1,C26-U-FF-B,C26-U-CR-B,C26-U-CR-B|C26-U-FF-B,E003;E004,2,10
P003,client_browser,browser,general_2026,general_labels_v1,C26-W-FF-A,C26-W-CR-A,C26-W-CR-A|C26-W-FF-A,E005;E006,2,10
P004,client_browser,browser,general_2026,general_labels_v1,C26-W-FF-B,C26-W-CR-B,C26-W-CR-B|C26-W-FF-B,E007;E008,2,10
P005,client_os,os,general_2026,general_labels_v1,C26-U-FF-A,C26-W-FF-A,C26-U-FF-A|C26-W-FF-A,E009;E010,2,10
P006,client_os,os,general_2026,general_labels_v1,C26-U-FF-B,C26-W-FF-B,C26-U-FF-B|C26-W-FF-B,E011;E012,2,10
P007,client_os,os,general_2026,general_labels_v1,C26-U-CR-A,C26-W-CR-A,C26-U-CR-A|C26-W-CR-A,E013;E014,2,10
P008,client_os,os,general_2026,general_labels_v1,C26-U-CR-B,C26-W-CR-B,C26-U-CR-B|C26-W-CR-B,E015;E016,2,10
P009,client_browser_and_os,browser_and_os,general_2026,general_labels_v1,C26-U-FF-A,C26-W-CR-A,C26-U-FF-A|C26-W-CR-A,E017;E018,2,10
P010,client_browser_and_os,browser_and_os,general_2026,general_labels_v1,C26-U-CR-A,C26-W-FF-A,C26-U-CR-A|C26-W-FF-A,E019;E020,2,10
P011,client_browser_and_os,browser_and_os,general_2026,general_labels_v1,C26-U-FF-B,C26-W-CR-B,C26-U-FF-B|C26-W-CR-B,E021;E022,2,10
P012,client_browser_and_os,browser_and_os,general_2026,general_labels_v1,C26-U-CR-B,C26-W-FF-B,C26-U-CR-B|C26-W-FF-B,E023;E024,2,10
P013,network,network,general_2026,general_labels_v1,C26-U-FF-A,C26-U-FF-B,C26-U-FF-A|C26-U-FF-B,E025;E026,2,10
P014,network,network,general_2026,general_labels_v1,C26-U-CR-A,C26-U-CR-B,C26-U-CR-A|C26-U-CR-B,E027;E028,2,10
P015,network,network,general_2026,general_labels_v1,C26-W-FF-A,C26-W-FF-B,C26-W-FF-A|C26-W-FF-B,E029;E030,2,10
P016,network,network,general_2026,general_labels_v1,C26-W-CR-A,C26-W-CR-B,C26-W-CR-A|C26-W-CR-B,E031;E032,2,10
P017,temporal,temporal,temporal_2024_to_2026,temporal_labels_v1,C24-U-FF-A,C26-U-FF-A,C24-U-FF-A|C26-U-FF-A,E033,1,10
P018,temporal,temporal,temporal_2024_to_2026,temporal_labels_v1,C24-U-CR-A,C26-U-CR-A,C24-U-CR-A|C26-U-CR-A,E034,1,10
